------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  1.800       m                  fsamp  =  50000     Hz 
        Uinf  =  21.4121     m/s                Tsamp  =  120       s 
        Utau  =  0.7117      m/s                 fcut  =  25000     Hz 
          nu  =  1.5373e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1417      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
11571.785   1.7644      30.0359     -0.0310     0.0161      
10043.983   1.5314      30.0224     -0.0223     0.0205      
8717.879    1.3292      30.0150     -0.0193     0.0359      
7566.855    1.1537      29.9773     0.0286      0.1112      
6567.763    1.0014      29.7302     0.2950      0.4986      
5700.560    0.8692      29.0572     0.9833      1.4765      
4947.839    0.7544      28.0430     2.0135      2.4604      
4294.462    0.6548      27.0580     3.0191      3.2232      
3727.375    0.5683      26.1819     3.8887      3.7340      
3235.144    0.4933      25.4069     4.6886      4.0818      
2807.908    0.4281      24.7889     5.3101      4.3123      
2437.010    0.3716      24.1446     5.9415      4.4262      
2115.136    0.3225      23.5710     6.5116      4.5681      
1835.759    0.2799      23.1206     6.9509      4.6014      
1593.184    0.2429      22.6963     7.3984      4.6157      
1382.691    0.2108      22.3312     7.7495      4.6747      
1200.019    0.1830      21.8910     8.1666      4.7996      
1041.374    0.1588      21.5720     8.4850      4.9650      
903.745     0.1378      21.2592     8.8389      5.0302      
784.217     0.1196      21.1295     8.9489      5.1432      
680.568     0.1038      20.6460     9.4345      5.2696      
590.482     0.0900      20.3404     9.7460      5.4050      
512.340     0.0781      20.0229     10.0717     5.4634      
444.521     0.0678      19.6984     10.4156     5.6684      
385.683     0.0588      19.2989     10.7901     5.6756      
334.575     0.0510      18.9748     11.1397     6.0009      
290.227     0.0443      18.6925     11.4145     6.0273      
251.711     0.0384      18.2617     11.8229     6.0281      
218.288     0.0333      17.9601     12.1294     6.1277      
189.309     0.0289      17.6357     12.4742     6.1102      
164.125     0.0250      17.2908     12.8129     6.1145      
142.275     0.0217      16.9379     13.1514     6.1902      
123.295     0.0188      16.5452     13.5617     6.1216      
106.815     0.0163      16.1686     13.9093     6.2065      
92.557      0.0141      15.8334     14.2641     6.1707      
80.150      0.0122      15.4849     14.6128     6.1938      
69.364      0.0106      15.1701     14.9230     6.2548      
60.105      0.0092      14.8370     15.2836     6.3008      
51.958      0.0079      14.4439     15.6490     6.4813      
44.875      0.0068      14.0973     15.9937     6.5659      
38.950      0.0059      13.7088     16.3780     6.8339      
33.209      0.0051      13.2571     16.8230     7.0371      
28.348      0.0043      12.7624     17.3516     7.4237      
23.997      0.0037      12.2095     17.9200     7.6761      
20.294      0.0031      11.5917     18.5374     7.9064      
17.053      0.0026      10.8390     19.3007     7.9635      
14.368      0.0022      10.0056     20.1332     7.8676      
12.192      0.0019      9.1424      20.9878     7.5772      
10.341      0.0016      8.3626      21.7972     7.0149      
8.674       0.0013      7.3508      22.7653     6.0317      
7.146       0.0011      6.5611      23.5561     5.0406      
5.758       0.0009      5.7397      24.3701     3.7952      
