------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.192       m                  fsamp  =  50000     Hz 
        Uinf  =  21.6234     m/s                Tsamp  =  120       s 
        Utau  =  0.6642      m/s                 fcut  =  25000     Hz 
          nu  =  1.5450e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1188      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
10747.008   2.1038      32.4718     0.0462      0.0126      
9328.292    1.8261      32.4740     0.0483      0.0139      
8096.873    1.5850      32.4732     0.0514      0.0172      
7028.032    1.3758      32.4750     0.0609      0.0268      
6100.276    1.1942      32.4658     0.0786      0.0684      
5294.991    1.0365      32.3061     0.2330      0.3327      
4596.015    0.8997      31.6710     0.8420      1.2922      
3989.333    0.7809      30.6909     1.8456      2.6396      
3462.736    0.6778      29.5255     3.0206      3.8229      
3005.650    0.5884      28.4566     4.0691      4.8054      
2608.832    0.5107      27.3199     5.2121      5.7919      
2264.460    0.4433      26.2923     6.2631      6.4793      
1965.525    0.3848      25.3617     7.1490      7.1338      
1706.095    0.3340      24.4665     8.0478      7.7012      
1480.884    0.2899      23.7577     8.7640      8.1229      
1285.420    0.2516      23.0012     9.5316      8.6727      
1115.748    0.2184      22.3374     10.1965     9.0604      
968.473     0.1896      21.8195     10.8039     9.4657      
840.628     0.1646      21.1308     11.4310     9.7282      
729.677     0.1428      20.5158     12.0382     9.8796      
633.385     0.1240      20.0477     12.5099     9.9601      
549.818     0.1076      19.5769     12.9813     9.9194      
477.255     0.0934      19.1460     13.4402     9.7894      
414.235     0.0811      18.7657     13.8215     9.7338      
359.598     0.0704      18.4456     14.1263     9.6081      
312.097     0.0611      18.1619     14.4160     9.3285      
270.915     0.0530      17.7811     14.7826     9.1268      
235.192     0.0460      17.4436     15.1290     8.9038      
204.155     0.0400      17.1504     15.4017     8.7554      
177.245     0.0347      16.8790     15.6743     8.6415      
153.860     0.0301      16.5505     16.0100     8.3748      
133.527     0.0261      16.2360     16.3260     8.2067      
115.988     0.0227      15.9632     16.5993     8.3540      
100.642     0.0197      15.6910     16.8731     8.1649      
87.358      0.0171      15.4033     17.1481     8.1184      
75.881      0.0149      15.1139     17.4547     8.0943      
65.865      0.0129      14.8211     17.7610     8.1274      
57.181      0.0112      14.5352     18.0405     8.1375      
49.658      0.0097      14.1998     18.3785     8.1411      
43.124      0.0084      13.7724     18.8009     8.3493      
36.934      0.0072      13.4509     19.1125     8.4924      
32.893      0.0064      13.1184     19.4419     8.6021      
26.058      0.0051      12.4631     20.0978     8.8766      
20.642      0.0040      11.6423     20.9345     9.1840      
17.289      0.0034      10.9604     21.6232     9.2346      
13.291      0.0026      9.8475      22.7672     8.9559      
11.528      0.0023      9.1684      23.4609     8.6304      
9.766       0.0019      8.4000      24.2047     7.9643      
8.390       0.0016      7.5899      25.0532     7.0798      
7.187       0.0014      6.6000      25.9050     5.7855      
6.198       0.0012      5.6299      26.8648     4.2321      
