------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.096       m                  fsamp  =  50000     Hz 
        Uinf  =  22.1074     m/s                Tsamp  =  120       s 
        Utau  =  0.6608      m/s                 fcut  =  25000     Hz 
          nu  =  1.5360e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1179      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
10754.950   2.1204      33.2054     0.0774      0.0124      
9335.122    1.8404      33.2030     0.0942      0.0135      
8102.738    1.5975      33.2449     0.0935      0.0210      
7033.059    1.3866      33.2341     0.0992      0.0344      
6104.576    1.2035      33.1738     0.1011      0.0643      
5298.661    1.0446      33.0699     0.2253      0.3100      
4599.136    0.9067      32.5085     0.8336      1.2407      
3991.936    0.7870      31.5239     1.8402      2.6824      
3464.926    0.6831      30.3697     3.0143      3.9643      
3007.482    0.5929      29.2020     4.2046      5.0490      
2610.397    0.5146      28.0562     5.3435      6.0870      
2265.754    0.4467      27.0517     6.3400      6.7843      
1966.628    0.3877      26.0753     7.3602      7.4742      
1706.995    0.3365      25.1559     8.2731      8.1118      
1481.564    0.2921      24.3933     9.0377      8.6253      
1285.947    0.2535      23.6297     9.8230      9.1396      
1116.142    0.2200      22.9768     10.4900     9.7466      
968.752     0.1910      22.2937     11.1498     9.9600      
840.807     0.1658      21.5726     11.8444     10.5486     
729.769     0.1439      21.0605     12.3771     10.8915     
633.402     0.1249      20.3995     13.0298     11.5862     
549.726     0.1084      19.8536     13.5689     11.7753     
477.149     0.0941      19.3148     14.1228     11.9439     
414.037     0.0816      18.7308     14.7025     12.1251     
359.443     0.0709      18.1908     15.2749     11.9742     
311.905     0.0615      17.6937     15.7598     11.8477     
270.690     0.0534      17.2926     16.1633     11.5437     
234.897     0.0463      16.9104     16.5535     10.9788     
203.835     0.0402      16.5154     16.9748     10.7883     
176.904     0.0349      16.1485     17.3148     10.4414     
153.501     0.0303      15.9258     17.6489     10.1166     
133.195     0.0263      15.5805     17.9870     9.7573      
115.556     0.0228      15.2629     18.2628     9.4335      
100.240     0.0198      15.0191     18.5163     9.2900      
86.990      0.0172      14.7887     18.7513     9.2502      
75.460      0.0149      14.4803     19.0708     9.0508      
65.436      0.0129      14.2269     19.3111     8.9280      
56.746      0.0112      13.8791     19.6323     8.9390      
49.217      0.0097      13.6306     19.8803     8.8960      
42.678      0.0084      13.3054     20.1923     8.9827      
36.526      0.0072      12.9602     20.5409     9.1891      
31.407      0.0062      12.5365     20.9685     9.1855      
26.631      0.0053      12.1519     21.3654     9.4034      
23.189      0.0046      11.7017     21.8202     9.5189      
20.006      0.0039      11.1942     22.3040     9.5942      
17.382      0.0034      10.6249     22.8836     9.6001      
15.231      0.0030      10.1543     23.3862     9.4277      
12.520      0.0025      9.2559      24.2897     9.0565      
10.799      0.0021      8.5920      24.9214     8.5448      
9.165       0.0018      7.8192      25.7371     7.7461      
7.659       0.0015      6.9142      26.5631     6.6163      
6.497       0.0013      6.3198      27.1747     5.6764      
