------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.024       m                  fsamp  =  50000     Hz 
        Uinf  =  21.6457     m/s                Tsamp  =  120       s 
        Utau  =  0.6258      m/s                 fcut  =  25000     Hz 
          nu  =  1.5347e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1134      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
10186.052   2.2020      34.5147     0.0471      0.0115      
8840.314    1.9111      34.5129     0.0457      0.0128      
7672.239    1.6586      34.4921     0.0535      0.0156      
6658.379    1.4394      34.4839     0.0503      0.0254      
5778.346    1.2492      34.4983     0.0496      0.0620      
5014.486    1.0840      34.3885     0.1635      0.3034      
4351.464    0.9407      33.8280     0.7298      1.2536      
3775.949    0.8163      32.7537     1.7923      2.8457      
3276.440    0.7083      31.5264     3.0458      4.2849      
2842.866    0.6146      30.3212     4.2682      5.4636      
2466.543    0.5332      29.1456     5.4212      6.4152      
2139.844    0.4626      28.0398     6.5228      7.3204      
1856.327    0.4013      26.9738     7.6075      8.0364      
1610.242    0.3481      26.1014     8.4731      8.6137      
1396.575    0.3019      25.1941     9.4043      9.4054      
1211.165    0.2618      24.4588     10.1434     9.8079      
1050.262    0.2270      23.7163     10.8715     10.3300     
910.522     0.1968      22.9362     11.6623     10.8669     
789.295     0.1706      22.2587     12.3258     11.3618     
684.010     0.1479      21.5660     13.0208     11.6861     
592.712     0.1281      20.9372     13.6455     12.2126     
513.362     0.1110      20.3515     14.2474     12.3962     
444.532     0.0961      19.6199     14.9852     12.7665     
384.794     0.0832      19.1157     15.4792     13.1485     
332.968     0.0720      18.3607     16.2255     13.4531     
287.951     0.0622      17.6749     16.9329     13.6223     
248.887     0.0538      16.9874     17.6238     13.9503     
214.962     0.0465      16.2439     18.3862     14.2927     
185.521     0.0401      15.4924     19.1234     14.4795     
159.995     0.0346      14.7240     19.8486     14.1465     
137.813     0.0298      14.1218     20.4818     13.8697     
118.567     0.0256      13.4387     21.1736     13.1637     
101.848     0.0220      12.8806     21.7151     12.4187     
87.332      0.0189      12.3988     22.1783     11.6702     
74.773      0.0162      12.0049     22.5944     10.7109     
63.845      0.0138      11.6439     22.9732     10.1647     
54.344      0.0117      11.3941     23.2314     9.6991      
46.148      0.0100      11.0565     23.5595     9.3410      
39.012      0.0084      10.7153     23.8967     9.0056      
32.773      0.0071      10.4199     24.1940     8.9584      
26.575      0.0057      10.0316     24.5831     8.7889      
21.274      0.0046      9.5065      25.1023     8.6435      
16.218      0.0035      8.8425      25.7798     8.4217      
12.059      0.0026      8.1625      26.4308     8.2324      
8.960       0.0019      7.2074      27.3895     7.4596      
6.106       0.0013      5.7712      28.8262     5.6144      
