------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.048       m                  fsamp  =  50000     Hz 
        Uinf  =  21.6176     m/s                Tsamp  =  120       s 
        Utau  =  0.6337      m/s                 fcut  =  25000     Hz 
          nu  =  1.5398e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1148      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
10279.664   2.1766      34.0515     0.0553      0.0121      
8921.420    1.8890      34.0066     0.0642      0.0139      
7742.489    1.6394      33.9519     0.0699      0.0195      
6719.207    1.4227      34.0977     0.0554      0.0283      
5830.996    1.2346      34.1380     0.0571      0.0635      
5060.036    1.0714      34.0291     0.1843      0.2990      
4390.853    0.9297      33.4497     0.7805      1.2526      
3810.030    0.8067      32.2598     1.8475      2.7513      
3305.879    0.7000      31.0454     3.0605      4.1655      
2868.235    0.6073      29.8387     4.2780      5.2901      
2488.414    0.5269      28.7274     5.3966      6.2800      
2158.679    0.4571      27.6442     6.5018      7.1274      
1872.527    0.3965      26.6275     7.5200      7.7328      
1624.155    0.3439      25.6742     8.4446      8.5289      
1408.502    0.2982      24.8443     9.3022      8.9678      
1221.370    0.2586      24.0974     10.0460     9.5251      
1058.971    0.2242      23.3454     10.7744     9.8674      
917.932     0.1944      22.6869     11.4393     10.4996     
795.578     0.1685      22.0042     12.1444     10.8567     
689.315     0.1460      21.3580     12.7947     11.4789     
597.169     0.1264      20.7750     13.3535     11.7079     
517.081     0.1095      20.0546     14.0651     12.1821     
447.652     0.0948      19.4869     14.6293     12.5916     
387.319     0.0820      18.8220     15.3070     12.9411     
334.969     0.0709      18.2083     15.9122     13.3696     
289.575     0.0613      17.5481     16.5724     13.5014     
250.149     0.0530      16.9197     17.1969     13.4425     
215.908     0.0457      16.3059     17.7995     13.1415     
186.235     0.0394      15.7248     18.3447     12.6758     
160.430     0.0340      15.2677     18.8036     12.0488     
138.042     0.0292      14.8020     19.2646     11.6382     
118.617     0.0251      14.3980     19.6664     10.9205     
101.743     0.0215      14.1112     19.9501     10.4671     
87.092      0.0184      13.7742     20.3085     10.3203     
74.416      0.0158      13.4062     20.6656     9.6693      
63.386      0.0134      13.1835     20.8866     9.5178      
53.797      0.0114      12.8314     21.2360     9.2896      
45.525      0.0096      12.5490     21.5171     9.2384      
38.323      0.0081      12.1632     21.8972     9.2045      
32.026      0.0068      11.7540     22.3210     9.2789      
25.647      0.0054      11.2312     22.8475     9.3874      
20.462      0.0043      10.5875     23.5056     9.2941      
16.140      0.0034      9.7659      24.3567     9.2674      
12.436      0.0026      8.7219      25.4116     8.7438      
9.473       0.0020      7.5758      26.5490     7.7888      
7.374       0.0016      6.4735      27.6416     6.3136      
5.810       0.0012      5.5393      28.5806     4.7245      
