------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  -0.100      m                  fsamp  =  50000     Hz 
        Uinf  =  21.5125     m/s                Tsamp  =  120       s 
        Utau  =  1.0114      m/s                 fcut  =  25000     Hz 
          nu  =  1.5557e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1090      m                  wireD  =  2.540     micm 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
16292.618   2.3001      21.2639     -0.0026     0.0036      
13371.780   1.8877      21.2725     -0.0032     0.0045      
10975.803   1.5495      21.2801     -0.0079     0.0070      
9010.416    1.2720      21.2784     -0.0036     0.0225      
7398.188    1.0444      21.1353     0.1359      0.1944      
6075.729    0.8577      20.4205     0.8505      0.9078      
4990.963    0.7046      19.4110     1.8654      1.6494      
4101.046    0.5790      18.3368     2.9230      2.2272      
3371.064    0.4759      17.4223     3.8235      2.6524      
2772.281    0.3914      16.5403     4.7247      3.0798      
2281.032    0.3220      15.7974     5.4670      3.3980      
1878.202    0.2652      15.1246     6.1493      3.6103      
1547.669    0.2185      14.5186     6.7428      3.8526      
1276.559    0.1802      13.9528     7.3185      4.0952      
1054.144    0.1488      13.4417     7.8210      4.3110      
871.779     0.1231      12.9364     8.3321      4.4801      
722.115     0.1019      12.4986     8.7634      4.6278      
599.238     0.0846      12.0267     9.2436      4.7674      
498.661     0.0704      11.6138     9.6553      4.8165      
416.027     0.0587      11.1497     10.1260     4.9408      
348.282     0.0492      10.6839     10.5811     4.9090      
292.695     0.0413      10.2391     11.0289     4.9351      
247.120     0.0349      9.8862      11.3915     4.9518      
209.737     0.0296      9.4954      11.7815     4.9316      
179.050     0.0253      9.1090      12.1557     4.8413      
153.889     0.0217      8.7777      12.4926     4.7338      
133.215     0.0188      8.4841      12.7857     4.7036      
116.311     0.0164      8.1593      13.1126     4.5660      
102.398     0.0145      7.9125      13.3585     4.5152      
91.020      0.0128      7.7289      13.5410     4.4115      
80.358      0.0113      7.4913      13.7874     4.3051      
69.305      0.0098      7.2619      14.0101     4.2547      
59.033      0.0083      6.9924      14.2825     4.1725      
48.046      0.0068      6.7134      14.5539     4.0217      
37.513      0.0053      6.3927      14.8855     3.9149      
