------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.012       m                  fsamp  =  50000     Hz 
        Uinf  =  21.5719     m/s                Tsamp  =  120       s 
        Utau  =  0.6193      m/s                 fcut  =  25000     Hz 
          nu  =  1.5553e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1145      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
9946.434    2.1807      34.6930     0.0783      0.0070      
8632.238    1.8925      34.7048     0.0750      0.0086      
7491.540    1.6425      34.7082     0.0711      0.0118      
6501.444    1.4254      34.7275     0.0534      0.0209      
5642.038    1.2370      34.7279     0.0544      0.0585      
4896.080    1.0734      34.6476     0.1740      0.3022      
4248.599    0.9315      34.0902     0.7209      1.3113      
3686.573    0.8082      33.0534     1.7796      2.8800      
3198.772    0.7013      31.7919     3.0538      4.3686      
2775.361    0.6085      30.5817     4.2912      5.5802      
2407.857    0.5279      29.4072     5.4383      6.4980      
2088.815    0.4580      28.2561     6.5582      7.5011      
1811.944    0.3973      27.2601     7.5972      8.1346      
1571.627    0.3446      26.3613     8.4955      8.8694      
1362.967    0.2988      25.4614     9.3897      9.5481      
1181.904    0.2591      24.6348     10.1869     10.0510     
1024.772    0.2247      23.8560     10.9724     10.3686     
888.307     0.1948      23.1466     11.7099     11.1316     
769.921     0.1688      22.4882     12.3734     11.5854     
667.104     0.1463      21.8442     13.0234     11.9379     
577.946     0.1267      21.1666     13.6991     12.3869     
500.456     0.1097      20.4800     14.3804     12.7484     
433.239     0.0950      19.8307     14.9857     13.0940     
374.902     0.0822      19.1173     15.6755     12.9992     
324.290     0.0711      18.4614     16.3568     13.4513     
280.328     0.0615      17.7383     17.0847     13.5192     
242.180     0.0531      17.0471     17.7872     13.7553     
209.049     0.0458      16.3402     18.4881     13.7359     
180.299     0.0395      15.6498     19.2324     14.0595     
155.371     0.0341      14.8419     20.0537     14.2101     
133.709     0.0293      13.9086     20.9246     14.4024     
114.914     0.0252      13.1193     21.7317     14.5438     
98.587      0.0216      12.2467     22.5994     14.1095     
84.411      0.0185      11.4898     23.3767     13.3801     
72.146      0.0158      10.8054     24.0438     12.5597     
61.475      0.0135      10.2239     24.6257     11.5209     
52.196      0.0114      9.7071      25.1513     10.4734     
44.192      0.0097      9.3074      25.5606     9.6652      
37.224      0.0082      8.9253      25.9198     8.9961      
31.131      0.0068      8.6233      26.2135     8.4410      
27.269      0.0060      8.4426      26.3589     8.1515      
23.326      0.0051      8.2267      26.5625     7.9219      
19.026      0.0042      7.8880      26.8956     7.6225      
14.208      0.0031      7.4907      27.2929     7.4228      
10.385      0.0023      7.0193      27.7648     7.2371      
6.960       0.0015      6.4421      28.3596     6.8651      
