Oil film interferometry Cf data 
-------------------------------------------------------- 
\hat{x}/del0	Cf	
-------------------------------------------------------- 
0.1048       0.0016486   
0.2095       0.0016716   
0.4191       0.0017188   
0.8381       0.0017869   
1.6762       0.0018868   
3.3524       0.0019950   
6.7049       0.0020842   
15.7145      0.0022093   
29.4385      0.0021954   
39.4172      0.0021524   
78.7035      0.0020725   
112.4024     0.0020400   
