------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.012       m                  fsamp  =  50000     Hz 
        Uinf  =  24.3866     m/s                Tsamp  =  300       s 
        Utau  =  0.6227      m/s                 fcut  =  25000     Hz 
          nu  =  1.5695e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3253      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
20813.329   1.6129      39.1025     0.0012      0.0173      
16763.581   1.2991      39.1683     -0.0377     0.0603      
13501.169   1.0463      38.9110     0.2326      0.6741      
10873.157   0.8426      37.6359     1.5298      3.0455      
8756.124    0.6785      35.7709     3.4108      5.5050      
7050.731    0.5464      33.9800     5.2123      7.3112      
5676.959    0.4399      32.3286     6.8395      8.6789      
4570.260    0.3542      30.9641     8.2002      9.6812      
3678.744    0.2851      29.5445     9.6374      10.7347     
2960.596    0.2294      28.3936     10.7563     11.3915     
2382.134    0.1846      27.2681     11.8614     12.4081     
1916.104    0.1485      26.3412     12.8117     12.8124     
1540.725    0.1194      25.4362     13.8236     13.6547     
1238.263    0.0960      24.5743     14.6841     14.3808     
994.675     0.0771      23.7302     15.5632     15.0548     
798.376     0.0619      22.6175     16.5420     15.5158     
640.322     0.0496      21.7478     17.4143     16.1942     
512.974     0.0398      20.5994     18.5504     16.3733     
410.381     0.0318      19.5781     19.5565     16.6057     
327.744     0.0254      18.4916     20.6373     16.5028     
261.174     0.0202      17.4756     21.6770     16.3944     
207.537     0.0161      16.3097     22.8421     15.9986     
164.294     0.0127      15.2359     23.9284     15.9230     
129.501     0.0100      14.0740     25.0940     15.5997     
101.532     0.0079      12.8930     26.2589     15.0075     
78.880      0.0061      11.8165     27.3285     13.8678     
60.710      0.0047      10.9281     28.2205     12.4910     
46.071      0.0036      10.2495     28.8849     10.9811     
34.288      0.0027      9.6789      29.4907     9.8170      
24.727      0.0019      9.2071      29.9561     8.9936      
17.110      0.0013      8.6987      30.4688     8.4022      
9.136       0.0007      7.9104      31.2320     7.8544      
