------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.136       m                  fsamp  =  50000     Hz 
        Uinf  =  24.4875     m/s                Tsamp  =  300       s 
        Utau  =  0.6563      m/s                 fcut  =  25000     Hz 
          nu  =  1.6187e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3207      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
21291.887   1.6373      37.2992     -0.0355     0.0248      
17782.115   1.3674      37.3939     -0.1370     0.0509      
14851.055   1.1420      37.3266     -0.0433     0.2764      
12403.261   0.9538      36.6044     0.6948      1.5636      
10359.060   0.7966      35.2273     2.1005      3.4402      
8651.917    0.6653      33.7101     3.6197      5.0103      
7226.244    0.5557      32.2522     5.0866      6.4207      
6035.655    0.4641      30.9831     6.3568      7.2954      
5041.349    0.3877      29.8034     7.5484      8.2392      
4211.010    0.3238      28.7382     8.6271      8.8605      
3517.554    0.2705      27.7474     9.6291      9.5715      
2938.478    0.2260      26.7135     10.6857     10.0791     
2454.847    0.1888      25.9649     11.4183     10.6174     
2050.970    0.1577      25.2340     12.1693     11.1411     
1713.669    0.1318      24.4625     12.8959     11.5151     
1431.997    0.1101      23.6874     13.6029     12.0489     
1196.750    0.0920      22.9009     14.3947     12.7220     
1000.305    0.0769      22.3257     14.9996     13.1052     
836.175     0.0643      21.6414     15.7038     13.8532     
699.212     0.0538      20.8854     16.4621     14.1998     
584.832     0.0450      20.2104     17.1450     14.1113     
489.225     0.0376      19.5667     17.7921     14.0852     
409.471     0.0315      18.8885     18.4542     13.8619     
342.854     0.0264      18.2956     19.0494     13.2990     
287.225     0.0221      17.8259     19.5192     12.8991     
240.719     0.0185      17.3472     20.0297     12.4462     
201.876     0.0155      16.9286     20.4041     11.9403     
169.480     0.0130      16.5202     20.7488     11.4747     
142.395     0.0109      16.1553     21.1393     11.1454     
119.811     0.0092      15.8262     21.4939     10.8075     
100.917     0.0078      15.4488     21.8564     10.4932     
85.104      0.0065      15.0409     22.2762     10.1657     
72.008      0.0055      14.7620     22.5402     10.0782     
61.020      0.0047      14.3620     22.9381     9.9042      
51.816      0.0040      14.0432     23.2848     10.0212     
44.153      0.0034      13.6219     23.6028     9.8719      
37.746      0.0029      13.2494     23.9010     10.0323     
31.421      0.0024      12.8042     24.4590     10.1699     
25.704      0.0020      12.2111     25.0818     10.2686     
21.082      0.0016      11.5355     25.7435     10.3083     
17.271      0.0013      10.8470     26.4149     10.2985     
14.149      0.0011      9.9592      27.2926     9.8888      
11.594      0.0009      9.0505      28.1709     9.2583      
9.648       0.0007      8.1451      29.1145     8.3258      
7.945       0.0006      7.2564      30.0618     7.0732      
7.013       0.0005      6.6729      30.5405     6.1794      
