------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.272       m                  fsamp  =  50000     Hz 
        Uinf  =  24.3899     m/s                Tsamp  =  300       s 
        Utau  =  0.6727      m/s                 fcut  =  25000     Hz 
          nu  =  1.6121e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3258      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
21904.423   1.6109      36.1454     0.0039      0.0179      
18292.184   1.3453      36.1262     -0.0322     0.0441      
15275.552   1.1234      36.0380     0.0713      0.2708      
12756.295   0.9381      35.3280     0.8052      1.4946      
10652.414   0.7834      34.0663     2.1118      3.2575      
8895.432    0.6542      32.6000     3.5900      4.7650      
7428.136    0.5463      31.2275     4.9778      6.0038      
6202.788    0.4562      29.9831     6.2373      6.8646      
5179.453    0.3809      28.7691     7.4353      7.6763      
4324.873    0.3181      27.7188     8.5054      8.3668      
3611.172    0.2656      26.8020     9.4150      8.9155      
3015.190    0.2217      25.9353     10.2933     9.5227      
2517.439    0.1851      25.2016     11.0273     9.9887      
2101.771    0.1546      24.4665     11.7775     10.5399     
1754.581    0.1290      23.6546     12.5662     11.1457     
1464.727    0.1077      23.0149     13.2194     11.6209     
1222.612    0.0899      22.3080     13.9225     12.0948     
1020.390    0.0750      21.7328     14.5049     12.3369     
851.552     0.0626      21.1049     15.2230     12.3959     
710.548     0.0523      20.5241     15.7894     12.3069     
592.829     0.0436      19.9871     16.3392     12.0136     
494.389     0.0364      19.4437     16.8272     11.4794     
412.348     0.0303      18.9834     17.3048     11.3563     
343.787     0.0253      18.5656     17.7271     11.0971     
286.492     0.0211      18.1676     18.1134     10.6932     
238.670     0.0176      17.7423     18.5307     10.4273     
198.735     0.0146      17.3895     18.8883     10.1361     
165.351     0.0122      17.0015     19.2814     10.0329     
137.476     0.0101      16.5945     19.6832     9.8823      
114.232     0.0084      16.2122     20.0575     9.5465      
94.744      0.0070      15.8184     20.4584     9.4330      
78.512      0.0058      15.4023     20.8682     9.4655      
65.033      0.0048      14.9980     21.2620     9.2341      
53.724      0.0040      14.5240     21.7721     9.3356      
44.210      0.0033      14.1199     22.2380     9.4598      
36.365      0.0027      13.5718     22.7994     9.6265      
29.771      0.0022      12.9928     23.2718     9.8435      
25.390      0.0019      12.5165     23.7939     10.0364     
21.384      0.0016      11.8046     24.4357     10.0984     
18.421      0.0014      11.2368     24.9955     10.0726     
15.959      0.0012      10.6104     25.6917     9.9386      
13.706      0.0010      9.9151      26.4155     9.6431      
11.828      0.0009      9.1197      27.1732     9.0572      
10.159      0.0007      8.3398      27.9630     8.2458      
8.656       0.0006      7.4927      28.8193     7.1267      
7.613       0.0006      6.9177      29.3911     6.2729      
