------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  2.160       m                  fsamp  =  50000     Hz 
        Uinf  =  24.5352     m/s                Tsamp  =  300       s 
        Utau  =  0.7300      m/s                 fcut  =  25000     Hz 
          nu  =  1.6003e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3559      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
23950.933   1.4752      33.4912     0.0053      0.0330      
20002.030   1.2320      33.5403     -0.0114     0.0810      
16704.328   1.0289      33.3172     0.2473      0.4938      
13950.306   0.8593      32.4217     1.1666      1.8046      
11650.368   0.7176      31.2289     2.4257      3.2396      
9729.655    0.5993      29.9551     3.7092      4.3892      
8125.624    0.5005      28.7358     4.8851      5.3011      
6786.088    0.4180      27.6146     5.9834      5.9862      
5667.390    0.3491      26.6456     6.9750      6.3499      
4733.173    0.2915      25.8744     7.7850      6.6028      
3952.917    0.2435      25.2069     8.4738      6.5931      
3301.442    0.2034      24.5655     9.0855      6.4927      
2757.307    0.1698      24.0122     9.6530      6.4631      
2302.903    0.1418      23.5765     10.0625     6.4003      
1923.405    0.1185      23.1016     10.4921     6.4460      
1606.449    0.0989      22.7438     10.8529     6.5194      
1341.817    0.0826      22.3037     11.3020     6.6392      
1120.796    0.0690      21.9955     11.6034     6.7539      
936.224     0.0577      21.6232     11.9941     6.9216      
782.080     0.0482      21.2604     12.3619     7.0863      
653.300     0.0402      20.8148     12.8049     7.1995      
545.823     0.0336      20.4068     13.2306     7.2703      
456.001     0.0281      20.0012     13.6408     7.3517      
381.095     0.0235      19.5414     14.0966     7.4445      
318.416     0.0196      19.1051     14.5372     7.5116      
266.183     0.0164      18.7285     14.9255     7.4950      
222.480     0.0137      18.2354     15.3930     7.4401      
186.031     0.0115      17.7832     15.8364     7.4006      
155.558     0.0096      17.3520     16.2758     7.3081      
130.149     0.0080      16.9414     16.6855     7.2960      
108.891     0.0067      16.4685     17.1635     7.2442      
91.191      0.0056      16.0263     17.5919     7.1981      
76.365      0.0047      15.5664     18.0288     7.1834      
64.002      0.0039      15.1768     18.4000     7.1801      
53.601      0.0033      14.7472     18.8257     7.2484      
45.071      0.0028      14.3269     19.2526     7.3851      
37.818      0.0023      13.8379     19.7456     7.5625      
32.480      0.0020      13.3960     20.2019     7.8762      
27.918      0.0017      12.9004     20.6860     8.0536      
23.995      0.0015      12.3518     21.2459     8.2231      
20.665      0.0013      11.8061     21.7846     8.5255      
17.745      0.0011      11.1568     22.4420     8.5484      
15.145      0.0009      10.3978     23.1987     8.4022      
13.047      0.0008      9.6911      23.8889     8.1819      
11.176      0.0007      8.8974      24.6618     7.5466      
9.443       0.0006      7.9840      25.5973     6.6917      
7.938       0.0005      7.1436      26.4284     5.6231      
6.751       0.0004      6.4279      27.1609     4.5843      
