------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.048       m                  fsamp  =  50000     Hz 
        Uinf  =  23.4731     m/s                Tsamp  =  210       s 
        Utau  =  0.6521      m/s                 fcut  =  25000     Hz 
          nu  =  1.5946e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.2162      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
21460.879   2.4273      35.8314     0.0129      0.0041      
17286.208   1.9552      35.8647     -0.0015     0.0058      
13923.308   1.5748      36.0195     -0.1142     0.0166      
11214.283   1.2684      35.9527     -0.0096     0.0766      
9031.988    1.0216      35.6214     0.2778      0.8331      
7274.023    0.8227      34.2399     1.6946      2.8874      
5857.861    0.6626      32.5953     3.3675      4.8029      
4717.087    0.5335      31.1230     4.8529      6.2972      
3798.170    0.4296      29.5564     6.3970      7.4149      
3057.843    0.3459      28.2838     7.6756      8.4260      
2461.468    0.2784      27.0758     8.8959      9.3921      
1981.071    0.2241      26.1103     9.8619      10.2046     
1594.120    0.1803      25.1289     10.8699     11.0034     
1282.375    0.1450      24.1931     11.7915     11.8657     
1031.196    0.1166      23.1957     12.7967     12.6275     
828.928     0.0938      22.3265     13.6970     13.1026     
666.002     0.0753      21.3890     14.6178     13.7618     
534.687     0.0605      20.4701     15.5463     14.3575     
429.013     0.0485      19.5738     16.4995     15.0172     
343.747     0.0389      18.4853     17.5686     15.3333     
275.125     0.0311      17.4116     18.6075     15.4166     
219.834     0.0249      16.5025     19.4862     14.8964     
175.340     0.0198      15.5915     20.4238     14.0347     
139.475     0.0158      14.8674     21.1835     12.9197     
110.562     0.0125      14.2290     21.8044     11.9540     
87.293      0.0099      13.7228     22.3562     11.1165     
68.522      0.0078      13.2381     22.8474     10.5652     
53.390      0.0060      12.7589     23.2895     10.1961     
41.244      0.0047      12.2817     23.7696     9.8214      
31.470      0.0036      11.6582     24.3979     9.8044      
23.578      0.0027      10.9549     25.1137     9.7833      
17.893      0.0020      10.0777     25.9817     9.5494      
13.681      0.0015      9.1276      26.8407     9.2486      
10.777      0.0012      8.1876      27.7968     8.3967      
8.569       0.0010      7.2241      28.7769     7.3056      
6.892       0.0008      6.3889      29.6067     6.0222      
