------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.384       m                  fsamp  =  50000     Hz 
        Uinf  =  23.6331     m/s                Tsamp  =  210       s 
        Utau  =  0.7086      m/s                 fcut  =  25000     Hz 
          nu  =  1.6331e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.2370      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
22785.311   2.2157      33.2541     -0.0598     0.0122      
18355.991   1.7850      33.2027     0.0982      0.0054      
14787.959   1.4380      33.2022     0.1029      0.0143      
11913.686   1.1585      33.2272     0.1437      0.0887      
9598.275    0.9333      32.8048     0.5689      0.8959      
7733.076    0.7520      31.4807     1.8562      2.7076      
6230.530    0.6059      29.9045     3.4477      4.3809      
5020.171    0.4882      28.3960     4.9444      5.6766      
4045.158    0.3934      27.0913     6.2343      6.6026      
3259.716    0.3170      26.0254     7.3026      7.4545      
2626.962    0.2554      24.9316     8.4046      8.2237      
2117.261    0.2059      23.9891     9.3597      8.9870      
1706.707    0.1660      23.1632     10.1601     9.5412      
1375.946    0.1338      22.3944     10.9480     9.9911      
1109.489    0.1079      21.5721     11.7687     10.0148     
894.883     0.0870      20.8594     12.4623     9.9618      
722.018     0.0702      20.3449     12.9966     9.7820      
582.650     0.0567      19.8253     13.5126     9.5583      
470.487     0.0458      19.2452     14.0747     9.4345      
380.106     0.0370      18.7911     14.5226     9.1412      
307.255     0.0299      18.4036     15.0406     9.1107      
248.635     0.0242      17.9569     15.4610     8.9352      
201.384     0.0196      17.4736     15.9211     8.7084      
163.331     0.0159      17.1500     16.3119     8.6247      
132.654     0.0129      16.6673     16.7260     8.4577      
107.922     0.0105      16.1808     17.1921     8.3388      
88.049      0.0086      15.6871     17.6876     8.1783      
72.039      0.0070      15.2279     18.1360     8.1086      
59.152      0.0058      14.8115     18.5699     8.1694      
48.695      0.0047      14.3015     19.0798     8.2758      
40.364      0.0039      13.8048     19.5634     8.3321      
33.161      0.0032      13.2340     20.1416     8.5209      
26.913      0.0026      12.5994     20.7590     8.6926      
21.663      0.0021      11.7832     21.5463     8.8424      
17.411      0.0017      10.9395     22.3835     8.8446      
14.113      0.0014      10.0405     23.3331     8.6129      
11.380      0.0011      9.0057      24.3534     7.8839      
9.210       0.0009      7.8714      25.4820     6.8090      
7.518       0.0007      6.8476      26.4950     5.4364      
6.433       0.0006      6.2579      27.0748     4.5260      
