------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  8.005       m                  fsamp  =  50000     Hz 
        Uinf  =  23.6385     m/s                Tsamp  =  210       s 
        Utau  =  0.7484      m/s                 fcut  =  25000     Hz 
          nu  =  1.6391e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3473      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
23967.389   1.5116      31.4601     0.0185      0.0153      
19306.592   1.2176      31.4711     0.0559      0.0625      
15552.012   0.9808      31.1784     0.3736      0.5262      
12527.501   0.7901      30.1885     1.3614      1.7041      
10091.062   0.6364      29.0394     2.5307      2.5951      
8128.369    0.5126      28.0041     3.5861      3.1521      
6547.330    0.4129      27.0328     4.5354      3.5408      
5273.659    0.3326      26.2353     5.3546      3.8178      
4247.682    0.2679      25.5560     6.0437      4.1227      
3421.184    0.2158      24.9306     6.6729      4.3631      
2755.447    0.1738      24.3523     7.2069      4.6125      
2219.059    0.1400      23.8534     7.7134      4.9011      
1786.999    0.1127      23.3480     8.2452      5.2165      
1438.995    0.0908      22.7836     8.7984      5.4990      
1158.610    0.0731      22.2489     9.3365      5.7796      
932.741     0.0588      21.7557     9.8597      5.9940      
750.749     0.0473      21.1755     10.4297     6.3674      
604.233     0.0381      20.6516     10.9572     6.4325      
486.162     0.0307      20.1382     11.4563     6.5540      
391.011     0.0247      19.5880     12.0150     6.7233      
314.488     0.0198      18.9979     12.5876     6.8007      
252.759     0.0159      18.4952     13.0625     6.8053      
202.992     0.0128      17.8602     13.6975     6.8277      
162.995     0.0103      17.3268     14.2312     6.7711      
130.715     0.0082      16.7273     14.8379     6.7046      
104.736     0.0066      16.2236     15.3415     6.6831      
83.733      0.0053      15.6850     15.8434     6.5954      
66.840      0.0042      15.2037     16.4234     6.7201      
53.325      0.0034      14.7032     16.9587     6.8032      
42.322      0.0027      14.1439     17.5348     6.9825      
33.510      0.0021      13.4670     18.1612     7.2514      
27.163      0.0017      12.8379     18.7738     7.6364      
22.050      0.0014      12.1503     19.4735     7.9468      
17.941      0.0011      11.2466     20.3881     8.0631      
14.836      0.0009      10.3837     21.2427     8.0703      
12.553      0.0008      9.4974      22.0867     7.7140      
10.590      0.0007      8.6509      22.9478     7.1284      
8.900       0.0006      7.7219      23.8730     6.2430      
7.622       0.0005      6.9235      24.6042     5.2397      
