------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.096       m                  fsamp  =  50000     Hz 
        Uinf  =  23.6007     m/s                Tsamp  =  210       s 
        Utau  =  0.6689      m/s                 fcut  =  25000     Hz 
          nu  =  1.6097e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.2259      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
21803.816   2.3234      35.1967     -0.0023     0.0038      
17562.143   1.8714      35.2536     -0.0265     0.0060      
14145.196   1.5073      35.2953     -0.0473     0.0149      
11392.665   1.2140      35.2209     0.0129      0.0813      
9175.324    0.9777      34.8270     0.4362      0.8530      
7389.127    0.7874      33.4944     1.7609      2.9298      
5950.264    0.6340      31.9558     3.3255      4.7382      
4791.128    0.5105      30.3405     4.9416      6.2564      
3857.413    0.4110      28.9182     6.3522      7.2720      
3105.238    0.3309      27.7498     7.5446      8.2902      
2499.326    0.2663      26.5733     8.7108      9.2337      
2011.215    0.2143      25.5595     9.7634      9.9129      
1618.008    0.1724      24.5436     10.7154     10.6870     
1301.257    0.1387      23.6259     11.6475     11.3547     
1046.086    0.1115      22.7352     12.5857     12.0265     
840.569     0.0896      21.8890     13.4096     12.8503     
674.943     0.0719      20.9742     14.3568     13.2489     
541.602     0.0577      20.0284     15.2029     13.5561     
434.107     0.0463      19.1372     16.0946     13.8715     
347.596     0.0370      18.2756     17.0338     13.6490     
277.872     0.0296      17.5355     17.7686     13.1311     
221.693     0.0236      16.8608     18.4490     12.6184     
176.443     0.0188      16.2794     19.0815     11.8481     
140.002     0.0149      15.7514     19.5844     11.1166     
110.625     0.0118      15.2892     20.0252     10.5863     
86.982      0.0093      14.7814     20.5409     10.1216     
67.909      0.0072      14.2673     20.9572     9.8957      
52.618      0.0056      13.7526     21.5029     9.7239      
40.236      0.0043      13.1921     22.0790     9.7310      
30.305      0.0032      12.4855     22.7865     9.9689      
22.244      0.0024      11.5264     23.7887     10.0064     
17.465      0.0019      10.6013     24.7102     9.8277      
14.058      0.0015      9.7319      25.5842     9.4470      
11.689      0.0012      8.9232      26.3785     8.9145      
9.736       0.0010      8.0542      27.2702     8.0507      
8.116       0.0009      7.1934      28.1185     6.8580      
6.869       0.0007      6.3708      28.8983     5.5266      
