Oil film interferometry Cf data 
-------------------------------------------------------- 
\hat{x}/del0	Cf	
-------------------------------------------------------- 
0.0538       0.0014437   
0.1075       0.0014856   
0.2150       0.0015436   
0.4300       0.0016064   
0.8601       0.0016844   
1.7201       0.0017980   
3.4402       0.0019237   
6.6520       0.0019708   
13.4609      0.0020281   
25.8019      0.0020059   
36.7542      0.0020046   
