------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.034       m                  fsamp  =  50000     Hz 
        Uinf  =  31.3184     m/s                Tsamp  =  120       s 
        Utau  =  0.8408      m/s                 fcut  =  25000     Hz 
          nu  =  1.5673e-05  m2/s               wireL  =  0.300     mm 
       del99  =  0.1616      m                  wireD  =  1.50      micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
18767.937   2.1645      37.1986     -0.0029     0.0641      
15849.730   1.8279      37.3346     -0.1073     0.0657      
13385.097   1.5437      37.4411     -0.2208     0.0741      
11303.492   1.3036      37.5916     -0.3555     0.0996      
9545.422    1.1009      37.2333     -0.0069     0.3879      
8060.623    0.9296      36.4878     0.7414      1.2452      
6806.553    0.7850      35.5386     1.6807      3.1026      
5747.377    0.6628      34.0801     3.1449      4.9149      
4852.946    0.5597      32.6807     4.5476      6.3719      
4097.457    0.4726      31.3217     5.8969      7.5538      
3459.344    0.3990      30.0815     7.1289      8.6216      
2920.475    0.3368      28.9294     8.2842      9.4749      
2465.293    0.2843      27.9770     9.2635      10.2751     
2080.977    0.2400      27.0336     10.2091     11.0523     
1756.261    0.2025      26.1278     11.1183     11.8370     
1482.026    0.1709      25.2948     11.9709     12.5669     
1250.438    0.1442      24.4940     12.7604     13.2192     
1054.900    0.1217      23.7200     13.5406     13.8475     
889.672     0.1026      22.9189     14.3348     14.3303     
750.141     0.0865      22.0857     15.1706     15.1514     
632.335     0.0729      21.2643     15.9725     15.3208     
532.930     0.0615      20.4447     16.7871     15.8868     
448.814     0.0518      19.6469     17.5908     16.4900     
377.787     0.0436      18.7537     18.4810     17.0498     
317.812     0.0367      17.8581     19.3820     17.4212     
267.170     0.0308      16.9231     20.2986     17.6552     
224.415     0.0259      16.1084     21.1347     17.1616     
188.312     0.0217      15.2716     21.9985     16.2803     
157.787     0.0182      14.6249     22.6402     15.5589     
132.145     0.0152      14.0000     23.2551     14.3092     
110.257     0.0127      13.5109     23.7413     13.4362     
91.911      0.0106      13.1099     24.1518     12.6278     
76.300      0.0088      12.6966     24.5652     11.9042     
63.264      0.0073      12.3920     24.9256     11.4014     
52.213      0.0060      12.0423     25.2525     10.9603     
42.825      0.0049      11.6416     25.6454     10.6442     
34.939      0.0040      11.2190     26.0534     10.5214     
25.766      0.0030      10.5934     26.6976     10.2774     
18.041      0.0021      9.6960      27.5820     10.1641     
11.872      0.0014      8.4180      28.8733     9.4705      
7.795       0.0009      7.0361      30.2118     7.9224      
