------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.136       m                  fsamp  =  50000     Hz 
        Uinf  =  30.8265     m/s                Tsamp  =  120       s 
        Utau  =  0.8799      m/s                 fcut  =  25000     Hz 
          nu  =  1.5754e-05  m2/s               wireL  =  0.300     mm 
       del99  =  0.1577      m                  wireD  =  1.50      micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
19540.386   2.2191      35.0010     0.0199      0.0534      
16502.037   1.8740      34.9529     0.0611      0.0547      
13935.934   1.5826      35.0158     0.0019      0.0617      
11768.629   1.3365      35.1122     -0.1027     0.0886      
9938.236    1.1286      34.9932     0.0239      0.2562      
8392.251    0.9530      34.4405     0.5810      1.1568      
7086.607    0.8048      33.2707     1.7502      2.7642      
5983.824    0.6795      31.9305     3.0933      4.3225      
5052.514    0.5738      30.5887     4.4365      5.5964      
4265.921    0.4845      29.3509     5.6831      6.6399      
3601.537    0.4090      28.2299     6.8107      7.6120      
3040.427    0.3453      27.2093     7.8298      8.3512      
2566.562    0.2915      26.2474     8.7576      9.0514      
2166.367    0.2460      25.4198     9.5882      9.7238      
1828.339    0.2076      24.6478     10.3762     10.3283     
1542.924    0.1752      23.8180     11.1855     10.8935     
1301.802    0.1478      23.0684     11.9386     11.4585     
1098.158    0.1247      22.3754     12.6424     12.0022     
926.072     0.1052      21.6989     13.3433     12.4842     
780.852     0.0887      20.9660     14.0690     12.8313     
658.140     0.0747      20.3493     14.6950     13.0243     
554.531     0.0630      19.7460     15.3097     12.9713     
467.008     0.0530      19.1859     15.8821     12.6026     
393.113     0.0446      18.7259     16.3403     12.1633     
330.668     0.0376      18.2020     16.8422     11.9920     
277.886     0.0316      17.7682     17.2640     11.4180     
233.426     0.0265      17.3458     17.6638     10.9549     
195.892     0.0222      16.9982     18.0186     10.6529     
164.111     0.0186      16.6168     18.4074     10.4410     
137.245     0.0156      16.2366     18.7941     10.2677     
114.569     0.0130      15.9209     19.0845     10.0157     
95.411      0.0108      15.5521     19.4618     9.7767      
79.269      0.0090      15.1321     19.8884     9.6096      
65.640      0.0075      14.7230     20.3055     9.5597      
54.134      0.0061      14.2694     20.7585     9.4584      
44.304      0.0050      13.8631     21.1712     9.6220      
36.149      0.0041      13.2633     21.7755     9.8056      
28.665      0.0033      12.6463     22.3991     9.9810      
23.080      0.0026      11.8855     23.1775     10.1786     
18.164      0.0021      10.9717     24.0809     10.1707     
14.701      0.0017      10.0108     25.0468     10.0398     
11.909      0.0014      9.0427      26.0355     9.4464      
9.786       0.0011      8.1610      26.9243     8.6096      
8.669       0.0010      7.6063      27.4542     7.9348      
