------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  1.078       m                  fsamp  =  50000     Hz 
        Uinf  =  31.1443     m/s                Tsamp  =  120       s 
        Utau  =  0.9721      m/s                 fcut  =  25000     Hz 
          nu  =  1.5141e-05  m2/s               wireL  =  0.300     mm 
       del99  =  0.1731      m                  wireD  =  1.50      micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
25677.471   2.3101      31.8227     0.0519      0.0058      
21605.743   1.9438      31.8445     0.0411      0.0097      
18179.636   1.6355      31.8661     0.0424      0.0140      
15296.683   1.3762      31.8924     0.0480      0.0285      
12870.852   1.1579      31.8625     0.0919      0.1096      
10829.595   0.9743      31.5573     0.4105      0.6659      
9111.983    0.8198      30.5974     1.3558      1.8704      
7666.718    0.6897      29.4040     2.5554      3.1052      
6450.657    0.5803      28.1696     3.7805      4.1039      
5427.332    0.4883      27.0189     4.9498      4.9458      
4566.182    0.4108      26.0669     5.9021      5.6008      
3841.720    0.3456      25.2974     6.7121      5.9552      
3232.053    0.2908      24.5106     7.4989      6.1096      
2719.010    0.2446      23.8532     8.1578      6.0918      
2287.376    0.2058      23.3832     8.6582      6.1788      
1924.117    0.1731      22.8743     9.1691      6.1422      
1618.513    0.1456      22.4544     9.5805      6.0040      
1361.317    0.1225      22.0686     9.9437      6.0514      
1144.955    0.1030      21.7809     10.2507     6.1366      
962.812     0.0866      21.4349     10.6066     6.1088      
809.689     0.0728      21.1492     10.8931     6.2380      
680.706     0.0612      20.8161     11.2251     6.2654      
572.203     0.0515      20.5109     11.5290     6.3858      
480.907     0.0433      20.1098     11.9497     6.4744      
404.121     0.0364      19.7475     12.3485     6.6691      
339.469     0.0305      19.3129     12.7919     6.7052      
285.154     0.0257      18.8911     13.2151     6.8158      
239.313     0.0215      18.4328     13.6710     6.8699      
200.791     0.0181      17.9610     14.1563     6.9648      
168.433     0.0152      17.5817     14.5138     6.9231      
141.211     0.0127      17.1643     14.9178     6.9124      
118.163     0.0106      16.7596     15.3395     6.9774      
98.966      0.0089      16.2435     15.8543     6.8958      
82.659      0.0074      15.8350     16.2614     6.8772      
68.983      0.0062      15.3854     16.6996     6.8489      
57.427      0.0052      14.8698     17.2117     6.8346      
47.732      0.0043      14.4136     17.6512     7.0346      
39.964      0.0036      13.9199     18.0986     7.2032      
32.260      0.0029      13.3600     18.6812     7.6062      
25.775      0.0023      12.6207     19.4358     7.9702      
20.318      0.0018      11.7393     20.3755     8.3415      
16.401      0.0015      10.7758     21.3660     8.4229      
13.384      0.0012      9.7908      22.3541     8.2531      
11.137      0.0010      8.8908      23.2409     7.7598      
9.211       0.0008      7.9593      24.1456     6.9506      
