------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  -0.100      m                  fsamp  =  50000     Hz 
        Uinf  =  31.3168     m/s                Tsamp  =  120       s 
        Utau  =  1.4537      m/s                 fcut  =  25000     Hz 
          nu  =  1.5522e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1545      m                  wireD  =  2.540     micm 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
32833.523   2.2694      21.5105     -0.0029     0.0498      
27739.176   1.9173      21.5252     -0.0273     0.0503      
23436.636   1.6199      21.5244     -0.0189     0.0532      
19802.753   1.3687      21.5109     -0.0186     0.0598      
16733.671   1.1566      21.4653     0.0420      0.1037      
14141.640   0.9774      21.2367     0.2717      0.3702      
11952.489   0.8261      20.7322     0.7934      0.9716      
10103.472   0.6983      19.9383     1.5887      1.5968      
8541.960    0.5904      19.0974     2.4161      2.0991      
7223.094    0.4992      18.3455     3.1714      2.5049      
6109.039    0.4222      17.6112     3.9013      2.8518      
5168.424    0.3572      16.9643     4.5604      3.1876      
4373.807    0.3023      16.4319     5.1093      3.3852      
3702.808    0.2559      15.8782     5.6626      3.6291      
3136.135    0.2168      15.3486     6.2066      3.8321      
2657.212    0.1837      14.8950     6.6621      4.0300      
2252.927    0.1557      14.4551     7.1166      4.2808      
1911.574    0.1321      14.0361     7.5208      4.5153      
1623.227    0.1122      13.6497     7.9085      4.6595      
1379.645    0.0954      13.1874     8.3672      4.8349      
1173.990    0.0811      12.8315     8.7242      5.0745      
1000.271    0.0691      12.4646     9.0939      5.2174      
853.522     0.0590      12.0677     9.4962      5.2825      
729.623     0.0504      11.6093     9.9208      5.2809      
624.923     0.0432      11.2467     10.2993     5.3695      
536.518     0.0371      10.8256     10.7217     5.4065      
461.879     0.0319      10.4735     11.0744     5.3859      
398.760     0.0276      10.1071     11.4318     5.4350      
345.567     0.0239      9.7622      11.7731     5.3603      
300.615     0.0208      9.4514      12.0938     5.3188      
262.593     0.0181      9.1867      12.3817     5.2849      
230.659     0.0159      8.8649      12.6995     5.1977      
203.313     0.0141      8.6029      12.9594     5.1420      
180.463     0.0125      8.3602      13.2130     5.0248      
161.264     0.0111      8.1178      13.4500     4.9156      
144.876     0.0100      7.9003      13.6632     4.7980      
131.109     0.0091      7.7284      13.8232     4.7476      
113.222     0.0078      7.4490      14.1080     4.5103      
95.148      0.0066      7.1741      14.3916     4.2983      
77.167      0.0053      6.9219      14.6589     4.1301      
56.658      0.0039      6.5486      15.0128     3.8275      
42.517      0.0029      6.2644      15.2972     3.6737      
