Oil film interferometry Cf data 
-------------------------------------------------------- 
\hat{x}/del0	Cf	
-------------------------------------------------------- 
0.0795       0.0012813   
0.2254       0.0014415   
0.4507       0.0015076   
0.9014       0.0016296   
1.8028       0.0017412   
4.0962       0.0018742   
7.1451       0.0019484   
14.3697      0.0020197   
28.2886      0.0020057   
51.4869      0.0019695   
