------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  2.160       m                  fsamp  =  50000     Hz 
        Uinf  =  17.2223     m/s                Tsamp  =  400       s 
        Utau  =  0.5299      m/s                 fcut  =  25000     Hz 
          nu  =  1.5959e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3618      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
17429.039   1.4507      32.4977     0.0052      0.0162      
14039.685   1.1686      32.4498     0.0480      0.0951      
11309.336   0.9414      31.8885     0.6099      0.9080      
9109.896    0.7583      30.5455     1.9591      2.4672      
7338.106    0.6108      29.0270     3.4970      3.7208      
5910.826    0.4920      27.6503     4.8854      4.7130      
4761.086    0.3963      26.3585     6.1723      5.3167      
3834.867    0.3192      25.3113     7.2281      5.8713      
3088.738    0.2571      24.3698     8.1345      5.8167      
2487.738    0.2071      23.6952     8.8048      5.9157      
2003.577    0.1668      23.1292     9.3601      5.8720      
1613.547    0.1343      22.5747     9.9575      5.8881      
1299.350    0.1082      22.0780     10.4337     5.9503      
1046.247    0.0871      21.6108     10.8978     6.1270      
842.383     0.0701      21.1046     11.4161     6.2002      
678.097     0.0564      20.6266     11.8506     6.4374      
545.851     0.0454      20.1947     12.2428     6.5239      
439.237     0.0366      19.7034     12.7514     6.6513      
353.375     0.0294      19.1698     13.2862     6.8071      
284.214     0.0237      18.6667     13.7942     6.8137      
228.467     0.0190      18.1714     14.2896     6.9100      
183.610     0.0153      17.6304     14.8279     6.8545      
147.420     0.0123      17.0755     15.3635     6.8338      
118.334     0.0098      16.5852     15.8785     6.8148      
94.893      0.0079      16.1216     16.3812     6.8296      
75.934      0.0063      15.5753     16.9398     6.8092      
60.761      0.0051      15.0531     17.4770     6.9609      
48.476      0.0040      14.4913     18.0377     7.1834      
38.615      0.0032      13.8754     18.6452     7.5525      
30.646      0.0026      13.2312     19.2890     7.9593      
24.238      0.0020      12.4103     20.0903     8.4046      
20.254      0.0017      11.7579     20.7566     8.8309      
17.232      0.0014      11.0932     21.4090     8.9888      
14.676      0.0012      10.3098     22.2087     9.0093      
12.650      0.0011      9.5734      22.9697     8.7186      
11.023      0.0009      8.8639      23.6605     8.3787      
9.496       0.0008      8.0242      24.4756     7.6939      
8.101       0.0007      7.1797      25.3432     6.8371      
6.840       0.0006      6.3138      26.1915     5.6668      
5.810       0.0005      5.6199      26.8952     4.6127      
