------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.068       m                  fsamp  =  50000     Hz 
        Uinf  =  17.0767     m/s                Tsamp  =  400       s 
        Utau  =  0.4672      m/s                 fcut  =  25000     Hz 
          nu  =  1.5834e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3348      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
15488.884   1.5677      36.4995     0.0137      0.0130      
12476.878   1.2629      36.4972     0.0097      0.0543      
10050.508   1.0173      36.1919     0.3061      0.6031      
8095.940    0.8194      34.9463     1.5921      2.5223      
6521.410    0.6601      33.1039     3.4031      4.3912      
5253.034    0.5317      31.5066     5.0392      5.7400      
4231.299    0.4283      29.9719     6.6063      6.9186      
3408.228    0.3450      28.5646     8.0048      7.8280      
2745.139    0.2779      27.3547     9.1968      8.4695      
2211.050    0.2238      26.2565     10.2858     9.1198      
1780.793    0.1802      25.2489     11.2933     9.7767      
1434.186    0.1452      24.3440     12.1672     10.4418     
1155.000    0.1169      23.4804     13.0673     10.9749     
930.046     0.0941      22.7740     13.8557     11.6276     
748.879     0.0758      21.8369     14.7428     11.9616     
602.883     0.0610      20.9575     15.6201     12.4789     
485.331     0.0491      20.1594     16.4295     12.9235     
390.616     0.0395      19.2894     17.2986     13.0754     
314.314     0.0318      18.3400     18.2374     13.4939     
252.853     0.0256      17.5185     19.0622     13.3412     
203.342     0.0206      16.6682     19.8820     12.9017     
163.449     0.0165      15.9523     20.5661     12.1422     
131.288     0.0133      15.2768     21.2436     11.3792     
105.441     0.0107      14.6862     21.8591     10.7415     
84.580      0.0086      14.2504     22.3027     10.2505     
67.791      0.0069      13.8373     22.7196     9.7889      
54.277      0.0055      13.3826     23.1856     9.6565      
43.360      0.0044      12.9312     23.6196     9.6691      
34.597      0.0035      12.3989     24.1587     9.6595      
27.515      0.0028      11.8452     24.6874     9.7822      
21.820      0.0022      11.1948     25.3296     9.9598      
17.188      0.0017      10.3553     26.1597     9.9629      
13.824      0.0014      9.5812      26.9820     9.9175      
11.257      0.0011      8.6908      27.8868     9.5069      
9.192       0.0009      7.7398      28.8292     8.6131      
7.628       0.0008      6.8428      29.7043     7.5803      
6.271       0.0006      5.9694      30.6026     6.1919      
5.710       0.0006      5.6144      30.9698     5.5629      
