Oil film interferometry Cf data 
-------------------------------------------------------- 
\hat{x}/del0	Cf	
-------------------------------------------------------- 
0.0362       0.0015938   
0.1026       0.0015482   
0.2052       0.0014969   
0.4103       0.0015715   
0.8206       0.0016569   
1.7439       0.0017484   
3.4093       0.0018237   
6.5169       0.0018933   
13.5769      0.0019476   
