------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  4.500       m                  fsamp  =  50000     Hz 
        Uinf  =  16.7984     m/s                Tsamp  =  400       s 
        Utau  =  0.5242      m/s                 fcut  =  25000     Hz 
          nu  =  1.5706e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3925      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
20020.721   1.5281      32.1212     -0.0059     0.0160      
16055.260   1.2255      32.1100     -0.0083     0.0585      
12875.042   0.9827      31.7673     0.3689      0.5943      
10324.565   0.7881      30.4745     1.6132      2.1254      
8279.138    0.6319      29.0485     3.0580      3.4240      
6638.731    0.5067      27.6828     4.4134      4.1298      
5323.141    0.4063      26.4686     5.5861      4.5473      
4268.085    0.3258      25.5334     6.5556      4.6273      
3421.932    0.2612      24.7501     7.3614      4.7625      
2743.293    0.2094      24.0909     7.9833      4.7615      
2199.128    0.1679      23.5227     8.5559      4.9856      
1762.667    0.1345      22.9580     9.1119      5.1591      
1412.617    0.1078      22.4594     9.5905      5.3839      
1131.923    0.0864      22.0183     10.0579     5.6839      
906.768     0.0692      21.4154     10.6140     5.8906      
726.236     0.0554      20.8809     11.1327     6.1449      
581.450     0.0444      20.4211     11.6709     6.3941      
465.267     0.0355      19.8602     12.2069     6.5758      
372.147     0.0284      19.3217     12.7324     6.5785      
297.485     0.0227      18.7576     13.2874     6.7154      
237.575     0.0181      18.1491     13.8857     6.7701      
189.513     0.0145      17.5760     14.4424     6.7334      
151.063     0.0115      17.0286     15.0024     6.7419      
120.124     0.0092      16.4098     15.5912     6.5898      
95.325      0.0073      15.8897     16.1180     6.6713      
75.466      0.0058      15.3944     16.6288     6.7210      
59.546      0.0045      14.7942     17.2313     6.7312      
46.763      0.0036      14.1931     17.8150     7.0080      
36.516      0.0028      13.5823     18.4273     7.4019      
28.306      0.0022      12.8482     19.1642     7.9410      
21.697      0.0017      11.9234     20.0789     8.4663      
18.727      0.0014      11.3185     20.6826     8.7105      
16.424      0.0013      10.7326     21.2772     8.7558      
14.822      0.0011      10.2209     21.7714     8.6960      
13.420      0.0010      9.7748      22.2347     8.6867      
12.118      0.0009      9.2442      22.8136     8.4919      
10.850      0.0008      8.6561      23.4047     8.1135      
9.682       0.0007      8.0300      24.0235     7.6445      
8.547       0.0007      7.3416      24.6925     6.8804      
7.479       0.0006      6.6491      25.3710     6.0297      
6.411       0.0005      5.8772      26.1339     4.9035      
5.310       0.0004      5.0284      26.9766     3.5623      
4.809       0.0004      4.6919      27.2857     2.9984      
4.776       0.0004      4.6903      27.3344     2.9851      
