------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.272       m                  fsamp  =  50000     Hz 
        Uinf  =  17.0972     m/s                Tsamp  =  400       s 
        Utau  =  0.4921      m/s                 fcut  =  25000     Hz 
          nu  =  1.5880e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3294      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
16304.440   1.5974      34.6816     -0.0162     0.0122      
13141.046   1.2875      34.6972     -0.0494     0.0496      
10592.754   1.0378      34.4270     0.2339      0.5674      
8539.915    0.8367      33.1959     1.4813      2.3038      
6886.277    0.6747      31.5317     3.1574      4.0384      
5554.150    0.5442      29.9412     4.7568      5.2847      
4481.030    0.4390      28.4341     6.2866      6.2650      
3616.590    0.3543      27.1790     7.5631      7.0232      
2920.204    0.2861      26.0508     8.6730      7.7621      
2359.240    0.2311      24.9395     9.7955      8.2403      
1907.358    0.1869      24.1096     10.5903     8.7783      
1543.329    0.1512      23.2772     11.4542     9.4666      
1250.080    0.1225      22.5638     12.1853     9.9203      
1013.850    0.0993      21.7706     12.9838     10.3764     
823.578     0.0807      20.9869     13.7695     10.6396     
670.275     0.0657      20.4334     14.2933     10.8588     
546.783     0.0536      19.7901     14.9514     10.9536     
447.277     0.0438      19.1354     15.6154     10.5914     
367.171     0.0360      18.6343     16.1262     10.3091     
302.590     0.0296      18.1475     16.6135     9.9567      
250.621     0.0246      17.7680     17.0029     9.8034      
208.755     0.0205      17.2859     17.4681     9.5624      
175.008     0.0171      16.9651     17.7981     9.3119      
147.799     0.0145      16.6212     18.1535     9.0282      
125.890     0.0123      16.2645     18.5558     9.0684      
108.288     0.0106      15.9514     18.8645     8.9338      
94.064      0.0092      15.6667     19.1397     8.7320      
82.629      0.0081      15.4108     19.3331     8.7120      
73.394      0.0072      15.1139     19.6035     8.7131      
65.957      0.0065      14.8811     19.8689     8.6634      
59.976      0.0059      14.7336     20.0550     8.8062      
47.829      0.0047      14.1998     20.5848     8.8841      
37.571      0.0037      13.6060     21.1682     9.2770      
27.996      0.0027      12.7758     21.9933     9.6670      
20.372      0.0020      11.6619     23.1103     10.1400     
14.949      0.0015      10.2591     24.5226     9.9982      
11.323      0.0011      8.9277      25.8003     9.4254      
8.875       0.0009      7.7083      27.0065     8.2843      
6.954       0.0007      6.4493      28.2824     6.5401      
5.435       0.0005      5.3767      29.3900     4.8176      
