------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.136       m                  fsamp  =  50000     Hz 
        Uinf  =  17.0834     m/s                Tsamp  =  400       s 
        Utau  =  0.4789      m/s                 fcut  =  25000     Hz 
          nu  =  1.5893e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3335      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
15814.260   1.5737      35.6238     -0.0032     0.0129      
12738.522   1.2676      35.7048     -0.0213     0.0504      
10260.812   1.0210      35.4334     0.2832      0.5712      
8264.885    0.8224      34.1186     1.5909      2.4970      
6657.039    0.6624      32.4114     3.3000      4.2014      
5361.855    0.5335      30.7433     4.9612      5.6313      
4318.470    0.4297      29.2171     6.4698      6.5515      
3477.983    0.3461      27.8413     7.8388      7.3951      
2800.864    0.2787      26.6981     9.0151      8.1084      
2255.474    0.2244      25.5850     10.1076     8.6818      
1816.113    0.1807      24.6816     10.9988     9.2493      
1462.171    0.1455      23.7574     11.9513     9.8503      
1177.078    0.1171      22.8863     12.7045     10.4300     
947.364     0.0943      22.1303     13.4500     10.9440     
762.363     0.0759      21.2878     14.3044     11.4649     
613.278     0.0610      20.5631     15.1208     12.0923     
493.239     0.0491      19.7341     15.9544     12.1363     
396.521     0.0395      18.9442     16.7326     12.3368     
318.603     0.0317      18.1942     17.4787     12.1461     
255.842     0.0255      17.4894     18.1947     11.6048     
205.283     0.0204      16.8873     18.7910     11.0164     
164.547     0.0164      16.3450     19.3283     10.4282     
131.765     0.0131      15.8556     19.8042     10.0360     
105.310     0.0105      15.3739     20.2859     9.7521      
84.038      0.0084      14.9399     20.7437     9.4859      
66.864      0.0067      14.4963     21.1712     9.3639      
53.064      0.0053      14.0268     21.6511     9.3339      
41.946      0.0042      13.5303     22.1200     9.4919      
32.967      0.0033      12.9238     22.7408     9.6824      
25.736      0.0026      12.1981     23.4712     10.0129     
19.921      0.0020      11.3201     24.3482     10.2225     
16.336      0.0016      10.5278     25.1624     10.2807     
13.594      0.0014      9.7460      25.9283     9.9669      
11.545      0.0011      8.9270      26.7482     9.6582      
9.888       0.0010      8.1508      27.5032     8.9537      
8.471       0.0008      7.3921      28.2931     8.0785      
7.176       0.0007      6.5214      29.1615     6.9397      
5.971       0.0006      5.6528      30.0364     5.4538      
5.760       0.0006      5.5120      30.2084     5.2493      
