------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  1.130       m                  fsamp  =  50000     Hz 
        Uinf  =  17.3301     m/s                Tsamp  =  400       s 
        Utau  =  0.5233      m/s                 fcut  =  25000     Hz 
          nu  =  1.5986e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3469      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
17187.207   1.5135      33.0271     -0.0186     0.0134      
13845.570   1.2193      33.0013     -0.0060     0.0661      
11153.660   0.9822      32.5659     0.4163      0.7213      
8985.185    0.7913      31.2906     1.7111      2.3373      
7238.339    0.6374      29.7670     3.2612      3.7226      
5831.152    0.5135      28.2800     4.7540      4.7864      
4697.599    0.4137      27.0947     6.1080      5.7393      
3784.420    0.3333      25.9304     7.2658      6.4071      
3048.795    0.2685      24.8420     8.3401      6.9015      
2456.256    0.2163      23.9241     9.2607      7.1480      
1978.912    0.1743      23.1967     9.9634      7.3549      
1594.372    0.1404      22.5677     10.6237     7.3157      
1284.599    0.1131      22.0129     11.1645     7.2419      
1035.059    0.0911      21.5194     11.6419     7.1966      
834.065     0.0734      21.1196     12.0499     7.2348      
672.092     0.0592      20.5684     12.5888     7.3180      
541.642     0.0477      20.0980     13.0593     7.3681      
436.595     0.0384      19.6957     13.4549     7.4147      
351.942     0.0310      19.2047     13.9142     7.4133      
283.755     0.0250      18.6229     14.4850     7.3967      
228.792     0.0201      18.1596     14.9434     7.4586      
184.567     0.0163      17.6868     15.4149     7.5166      
148.886     0.0131      17.1178     15.9667     7.3201      
120.210     0.0106      16.6353     16.4274     7.3074      
97.099      0.0086      16.1623     16.9622     7.2652      
78.440      0.0069      15.6302     17.4857     7.2949      
63.447      0.0056      15.1410     17.9797     7.3478      
51.335      0.0045      14.6439     18.4563     7.5503      
41.613      0.0037      14.0658     18.9931     7.8024      
33.756      0.0030      13.5366     19.6077     8.2510      
27.438      0.0024      12.8672     20.2945     8.7063      
22.954      0.0020      12.2375     20.9059     8.9786      
19.287      0.0017      11.5186     21.6093     9.1914      
16.472      0.0015      10.7907     22.3095     9.2745      
14.181      0.0012      10.0978     23.0131     9.1858      
12.249      0.0011      9.3276      23.7822     8.9048      
10.482      0.0009      8.4889      24.6066     8.2895      
8.976       0.0008      7.7123      25.4120     7.6618      
7.535       0.0007      6.8230      26.3261     6.5557      
6.161       0.0005      5.8737      27.2629     5.1608      
5.277       0.0005      5.2684      27.8596     4.1555      
