------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.012       m                  fsamp  =  50000     Hz 
        Uinf  =  17.2585     m/s                Tsamp  =  400       s 
        Utau  =  0.4872      m/s                 fcut  =  25000     Hz 
          nu  =  1.5842e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.3314      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
16140.778   1.5835      35.2919     -0.0107     0.0128      
13001.493   1.2755      35.3554     0.0207      0.0505      
10472.591   1.0274      35.0875     0.2657      0.5537      
8435.428    0.8276      33.8518     1.5169      2.3753      
6794.362    0.6666      32.1764     3.2343      4.1528      
5472.388    0.5369      30.5018     4.8423      5.4283      
4407.477    0.4324      29.0631     6.3111      6.4063      
3549.595    0.3482      27.7533     7.6477      7.2403      
2858.516    0.2804      26.5567     8.8306      7.7926      
2301.889    0.2258      25.5978     9.8128      8.4682      
1853.420    0.1818      24.6269     10.7719     9.0832      
1492.166    0.1464      23.7216     11.6729     9.7955      
1201.151    0.1178      23.0544     12.5194     10.4611     
966.722     0.0948      22.0967     13.3734     11.0998     
777.899     0.0763      21.2848     14.1906     11.3236     
625.734     0.0614      20.5127     14.9527     11.8498     
503.215     0.0494      19.5193     15.9376     12.1154     
404.498     0.0397      18.7407     16.7229     12.3527     
324.971     0.0319      17.7344     17.7332     12.5393     
260.913     0.0256      16.7937     18.6812     12.3357     
209.340     0.0205      15.8240     19.6238     12.3296     
167.731     0.0165      14.8968     20.5256     12.0770     
134.211     0.0132      13.9132     21.5132     11.7141     
107.271     0.0105      12.9550     22.4856     11.5981     
85.560      0.0084      11.9179     23.4780     11.3848     
68.031      0.0067      10.9181     24.4989     11.0569     
53.946      0.0053      10.0689     25.3259     10.2502     
42.567      0.0042      9.3388      26.0632     9.2696      
33.434      0.0033      8.7747      26.5957     8.3909      
26.053      0.0026      8.3111      27.1366     7.7970      
20.118      0.0020      7.8614      27.6073     7.3653      
14.551      0.0014      7.2677      28.2270     6.9674      
9.631       0.0009      6.5026      28.9862     6.6359      
5.694       0.0006      5.4460      30.0244     5.7694      
