------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  -0.100      m                  fsamp  =  50000     Hz 
        Uinf  =  23.5189     m/s                Tsamp  =  210       s 
        Utau  =  1.0572      m/s                 fcut  =  25000     Hz 
          nu  =  1.6413e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.2175      m                  wireD  =  2.540     micm 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
33856.615   2.4169      22.1225     0.0191      0.0041      
27281.050   1.9475      22.1385     0.0293      0.0046      
21983.997   1.5694      22.2030     -0.0048     0.0080      
17716.943   1.2648      22.2352     -0.0174     0.0296      
14279.556   1.0194      22.0473     0.1872      0.3046      
11510.541   0.8217      21.2839     0.9612      1.0845      
9279.972    0.6625      20.2847     1.9689      1.8262      
7483.046    0.5342      19.3212     2.9301      2.4016      
6035.573    0.4309      18.4200     3.8279      2.8442      
4869.529    0.3476      17.6405     4.6033      3.2529      
3930.292    0.2806      16.9408     5.2916      3.5186      
3173.542    0.2265      16.2980     5.9268      3.8751      
2563.982    0.1830      15.7066     6.5313      4.1767      
2073.074    0.1480      15.2257     7.0252      4.4097      
1677.436    0.1197      14.7062     7.5488      4.6476      
1358.774    0.0970      14.1825     8.0780      4.9006      
1102.015    0.0787      13.7140     8.5488      5.1167      
895.306     0.0639      13.2095     9.0442      5.3061      
728.729     0.0520      12.7262     9.5396      5.4467      
594.552     0.0424      12.1920     10.0530     5.5526      
486.528     0.0347      11.7366     10.5168     5.6811      
399.374     0.0285      11.2716     10.9991     5.6903      
329.226     0.0235      10.8046     11.4659     5.6543      
272.798     0.0195      10.3664     11.8993     5.5772      
227.257     0.0162      9.9597      12.3016     5.4806      
190.540     0.0136      9.5748      12.6956     5.3801      
161.038     0.0115      9.2189      13.0503     5.2981      
137.204     0.0098      8.9000      13.3652     5.1720      
118.073     0.0084      8.6370      13.6373     5.1221      
102.549     0.0073      8.3800      13.8819     5.0111      
90.246      0.0064      8.1864      14.0747     4.9159      
74.915      0.0053      7.8732      14.3843     4.7582      
