------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.618       m                  fsamp  =  50000     Hz 
        Uinf  =  22.8739     m/s                Tsamp  =  180       s 
        Utau  =  0.7226      m/s                 fcut  =  25000     Hz 
          nu  =  1.5715e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1667      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
16092.376   2.0996      31.4104     -0.1067     0.0340      
13591.204   1.7732      31.3993     -0.0086     0.0355      
11478.785   1.4976      31.4406     0.0002      0.0423      
9694.657    1.2649      31.4215     0.0672      0.0701      
8187.829    1.0683      31.3277     0.1778      0.3017      
6915.219    0.9022      30.7569     0.7889      1.2004      
5840.366    0.7620      29.7735     1.8400      2.5136      
4932.646    0.6436      28.6212     3.0223      3.6169      
4165.944    0.5435      27.4929     4.1737      4.5609      
3518.420    0.4590      26.4040     5.2730      5.3859      
2971.498    0.3877      25.3769     6.2974      5.9701      
2509.638    0.3274      24.5227     7.1536      6.4736      
2119.459    0.2765      23.7746     7.9213      6.8992      
1790.065    0.2335      23.0756     8.6456      7.1213      
1511.799    0.1972      22.4834     9.2353      7.2287      
1276.754    0.1666      21.9161     9.7977      7.2291      
1078.262    0.1407      21.4728     10.2431     7.2504      
910.622     0.1188      20.9970     10.7311     7.1320      
769.053     0.1003      20.6574     11.0854     7.2599      
649.461     0.0847      20.2642     11.4643     7.1280      
548.491     0.0716      19.9348     11.7881     7.0822      
463.245     0.0604      19.6232     12.1184     7.1237      
391.150     0.0510      19.2815     12.4691     7.0722      
330.320     0.0431      18.8860     12.7656     6.9377      
278.915     0.0364      18.5939     13.0488     7.0028      
235.511     0.0307      18.1590     13.5111     7.0032      
198.866     0.0259      17.7975     13.8812     7.0932      
167.922     0.0219      17.4225     14.2327     7.0780      
141.759     0.0185      17.0305     14.6292     7.0607      
119.690     0.0156      16.6571     14.9820     7.0683      
101.022     0.0132      16.2970     15.4185     7.0697      
85.297      0.0111      15.9194     15.7841     7.0142      
71.917      0.0094      15.5070     16.1632     7.0499      
60.698      0.0079      15.1289     16.5475     7.1690      
51.273      0.0067      14.6356     17.0364     7.2480      
43.226      0.0056      14.1543     17.5090     7.4566      
36.467      0.0048      13.7326     17.9758     7.7520      
30.720      0.0040      13.2171     18.4772     8.0329      
25.432      0.0033      12.5403     19.1470     8.3024      
21.294      0.0028      11.8781     19.8075     8.6068      
17.846      0.0023      11.1245     20.5506     8.7203      
14.949      0.0020      10.2949     21.3980     8.6903      
12.604      0.0016      9.4466      22.2313     8.4152      
10.581      0.0014      8.5776      23.1038     7.8546      
8.788       0.0011      7.6280      24.0609     6.9472      
7.225       0.0009      6.6670      25.0031     5.8319      
7.041       0.0009      6.5952      25.0824     5.6708      
