------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.068       m                  fsamp  =  50000     Hz 
        Uinf  =  22.8858     m/s                Tsamp  =  180       s 
        Utau  =  0.6566      m/s                 fcut  =  25000     Hz 
          nu  =  1.5386e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1570      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
14935.692   2.2289      34.7279     0.0118      0.0389      
12614.307   1.8824      34.7582     0.0057      0.0394      
10653.732   1.5899      34.7414     0.0202      0.0457      
8997.849    1.3427      34.7694     0.0081      0.0673      
7599.334    1.1340      34.6957     0.0833      0.2182      
6418.201    0.9578      34.2245     0.5788      1.0618      
5420.652    0.8089      33.1663     1.6533      2.6196      
4578.052    0.6832      31.8085     3.0029      4.0878      
3866.547    0.5770      30.4848     4.3444      5.3301      
3265.568    0.4873      29.2478     5.5946      6.4230      
2757.960    0.4116      28.1089     6.7360      7.2114      
2329.298    0.3476      27.1085     7.7606      7.9702      
1967.209    0.2936      26.1719     8.6435      8.6011      
1661.492    0.2479      25.3093     9.5208      9.4582      
1403.186    0.2094      24.4879     10.3536     10.0611     
1185.036    0.1768      23.7289     11.1229     10.4801     
1000.812    0.1494      22.9383     11.9220     11.0684     
845.265     0.1261      22.2696     12.5864     11.6559     
713.828     0.1065      21.5166     13.3149     12.1809     
602.833     0.0900      20.8635     14.0064     12.7314     
509.121     0.0760      20.1081     14.7684     13.2067     
430.003     0.0642      19.3893     15.4900     13.5359     
363.175     0.0542      18.6870     16.1787     13.7793     
306.632     0.0458      17.9546     16.9220     13.6987     
258.923     0.0386      17.2548     17.6315     13.3496     
218.638     0.0326      16.7204     18.1722     12.8185     
184.627     0.0276      16.2179     18.6844     12.1648     
155.907     0.0233      15.7418     19.1424     11.5909     
131.626     0.0196      15.3682     19.5253     11.1422     
111.185     0.0166      14.9855     19.9185     10.6583     
93.817      0.0140      14.6227     20.2523     10.4268     
79.222      0.0118      14.2957     20.5718     9.9897      
66.847      0.0100      14.0232     20.8491     9.8552      
56.434      0.0084      13.6871     21.1931     9.7824      
47.643      0.0071      13.3221     21.5640     9.6418      
40.175      0.0060      12.9658     21.9313     9.7292      
33.902      0.0051      12.5567     22.3210     9.7902      
26.690      0.0040      11.9308     22.9522     9.8589      
20.929      0.0031      11.1963     23.6676     9.9905      
16.065      0.0024      10.1613     24.7283     9.8664      
12.651      0.0019      9.1838      25.7197     9.4808      
10.133      0.0015      8.2141      26.6948     8.7332      
8.042       0.0012      7.1681      27.7279     7.4817      
6.377       0.0010      6.1589      28.7414     5.9243      
