------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.034       m                  fsamp  =  50000     Hz 
        Uinf  =  22.4369     m/s                Tsamp  =  180       s 
        Utau  =  0.6315      m/s                 fcut  =  25000     Hz 
          nu  =  1.5437e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1568      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
14316.483   2.2319      35.5888     -0.0116     0.0401      
12091.409   1.8850      35.5804     -0.0160     0.0435      
10212.024   1.5920      35.5424     -0.0150     0.0494      
8624.824    1.3446      35.5646     -0.0249     0.0708      
7284.281    1.1356      35.4109     0.0576      0.2280      
6152.110    0.9591      34.9371     0.5540      1.0887      
5195.871    0.8100      33.8631     1.6597      2.6917      
4388.241    0.6841      32.4865     3.0667      4.3439      
3706.148    0.5778      31.1773     4.3661      5.4599      
3130.122    0.4880      29.8994     5.6524      6.5753      
2643.597    0.4121      28.7284     6.8238      7.5504      
2232.664    0.3481      27.6408     7.8980      8.3194      
1885.625    0.2940      26.7102     8.8383      9.0331      
1592.499    0.2483      25.8223     9.7237      9.7979      
1344.942    0.2097      24.9728     10.5820     10.3118     
1135.876    0.1771      24.1253     11.4023     10.9325     
959.288     0.1496      23.3684     12.1635     11.5487     
810.148     0.1263      22.6347     12.8889     12.1806     
684.202     0.1067      21.8314     13.6784     12.6257     
577.807     0.0901      21.0963     14.3976     13.0364     
487.980     0.0761      20.3746     15.1422     13.5891     
412.060     0.0642      19.6846     15.8490     13.9137     
348.043     0.0543      18.8349     16.6756     14.3793     
293.844     0.0458      18.0240     17.5146     14.7327     
248.112     0.0387      17.2543     18.2913     15.0877     
209.539     0.0327      16.4268     19.1175     15.1104     
176.937     0.0276      15.6303     19.9302     14.7264     
149.367     0.0233      14.9456     20.6223     13.8859     
126.133     0.0197      14.3980     21.1762     13.1687     
106.458     0.0166      13.9067     21.6600     12.4137     
89.891      0.0140      13.4003     22.1197     11.4252     
75.861      0.0118      12.9956     22.5326     10.7977     
64.039      0.0100      12.6989     22.8274     10.3757     
54.058      0.0084      12.3577     23.1792     10.0836     
45.591      0.0071      12.0589     23.4782     9.7992      
38.433      0.0060      11.7215     23.8254     9.6032      
32.420      0.0051      11.4273     24.1003     9.5819      
24.198      0.0038      10.7753     24.7524     9.6855      
17.530      0.0027      9.8909      25.6161     9.4898      
12.458      0.0019      8.7780      26.7149     9.1058      
9.022       0.0014      7.5700      27.9175     8.1272      
6.609       0.0010      6.4138      29.0801     6.6850      
6.363       0.0010      6.3018      29.2048     6.4942      
