------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  0.012       m                  fsamp  =  50000     Hz 
        Uinf  =  22.3481     m/s                Tsamp  =  180       s 
        Utau  =  0.6281      m/s                 fcut  =  25000     Hz 
          nu  =  1.5399e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1575      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
14270.102   2.2208      35.4731     0.0116      0.0241      
12051.233   1.8755      35.5029     0.0141      0.0259      
10177.197   1.5838      35.5405     -0.0007     0.0316      
8594.441    1.3375      35.5410     -0.0057     0.0555      
7257.726    1.1295      35.4594     0.0757      0.2077      
6128.753    0.9538      34.9585     0.5725      1.0493      
5175.257    0.8054      33.8986     1.6500      2.6833      
4369.908    0.6801      32.5162     3.0434      4.3354      
3689.783    0.5742      31.1928     4.3847      5.5423      
3115.344    0.4848      29.9339     5.6410      6.6509      
2630.152    0.4093      28.7485     6.8311      7.5914      
2220.421    0.3455      27.7371     7.8734      8.3038      
1874.322    0.2917      26.7675     8.7932      9.0222      
1582.064    0.2462      25.7985     9.7294      9.6985      
1335.206    0.2078      25.0311     10.4936     10.3865     
1126.690    0.1753      24.2258     11.2896     11.0613     
950.601     0.1479      23.4714     12.0747     11.5314     
801.924     0.1248      22.6421     12.8820     12.1822     
676.292     0.1052      21.8647     13.6848     12.6446     
570.198     0.0887      21.1398     14.4266     13.1255     
480.624     0.0748      20.3431     15.2450     13.4745     
404.960     0.0630      19.5810     16.0388     14.0521     
341.002     0.0531      18.7468     16.8685     14.0762     
287.078     0.0447      17.8758     17.7541     14.2564     
241.434     0.0376      16.9839     18.6245     14.4029     
202.970     0.0316      16.1408     19.4698     14.9056     
170.420     0.0265      15.1688     20.4427     15.1877     
143.009     0.0223      14.1321     21.4768     15.4182     
119.800     0.0186      13.0747     22.5417     15.1989     
100.221     0.0156      12.2486     23.3478     14.2486     
83.660      0.0130      11.4229     24.1920     13.0356     
69.710      0.0108      10.8237     24.8056     11.7946     
57.881      0.0090      10.3075     25.3149     10.7232     
47.888      0.0075      9.9097      25.7137     9.9468      
39.526      0.0062      9.5070      26.0985     9.2524      
32.347      0.0050      9.1880      26.4059     8.7593      
26.392      0.0041      8.8546      26.7373     8.4215      
18.152      0.0028      8.1811      27.4535     8.1042      
11.912      0.0019      7.4347      28.2094     7.8369      
6.650       0.0010      6.1983      29.4162     6.7860      
