Oil film interferometry Cf data 
-------------------------------------------------------- 
\hat{x}/del0	Cf	
-------------------------------------------------------- 
0.0762       0.0015799   
0.2158       0.0015842   
0.4317       0.0016462   
0.8633       0.0017597   
1.7266       0.0018581   
3.9229       0.0019958   
6.8429       0.0020703   
13.7621      0.0021253   
27.0925      0.0021163   
49.3098      0.0020722   
