------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  1.078       m                  fsamp  =  50000     Hz 
        Uinf  =  22.4002     m/s                Tsamp  =  180       s 
        Utau  =  0.7207      m/s                 fcut  =  25000     Hz 
          nu  =  1.5584e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1756      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
18493.355   2.2776      30.9851     0.0392      0.0477      
15560.416   1.9163      31.0182     0.0264      0.0481      
13092.530   1.6124      30.9499     0.0563      0.0520      
11015.887   1.3567      30.9876     0.0272      0.0664      
9268.518    1.1415      30.8853     0.0987      0.1546      
7798.164    0.9604      30.4969     0.4810      0.7039      
6560.937    0.8080      29.5969     1.4261      1.8219      
5519.887    0.6798      28.4622     2.5580      2.9647      
4643.936    0.5719      27.3125     3.7373      3.9304      
3906.863    0.4812      26.2163     4.8268      4.7428      
3286.608    0.4048      25.2981     5.7446      5.2426      
2764.672    0.3405      24.4632     6.6021      5.6210      
2325.518    0.2864      23.6554     7.3820      5.7006      
1955.964    0.2409      23.0770     7.9735      5.7904      
1645.050    0.2026      22.5422     8.4894      5.8163      
1383.389    0.1704      22.1413     8.9262      5.7598      
1163.256    0.1433      21.7429     9.3194      5.7858      
977.994     0.1204      21.3899     9.6772      5.7638      
822.144     0.1013      21.0591     10.0152     5.8415      
690.943     0.0851      20.8016     10.2872     5.9048      
580.599     0.0715      20.3932     10.7157     6.0931      
487.691     0.0601      20.0546     11.0623     6.1223      
409.627     0.0504      19.7319     11.3762     6.2458      
343.819     0.0423      19.3186     11.7949     6.3720      
288.508     0.0355      18.8544     12.2669     6.3843      
241.938     0.0298      18.5157     12.6191     6.4957      
202.767     0.0250      18.1026     13.0222     6.5661      
169.794     0.0209      17.6351     13.4613     6.6356      
142.046     0.0175      17.1853     13.8946     6.6270      
118.738     0.0146      16.7466     14.3293     6.5926      
99.083      0.0122      16.3638     14.7587     6.6699      
82.527      0.0102      15.8936     15.2354     6.5966      
68.607      0.0084      15.4536     15.6659     6.6959      
56.953      0.0070      15.0226     16.0765     6.7366      
47.149      0.0058      14.5557     16.5556     6.9782      
38.824      0.0048      14.0658     17.0333     7.2144      
31.841      0.0039      13.5098     17.5896     7.5869      
26.338      0.0032      12.9037     18.1947     7.9162      
21.852      0.0027      12.1734     18.9533     8.2502      
18.430      0.0023      11.4661     19.6461     8.4852      
15.747      0.0019      10.7684     20.3729     8.5707      
13.343      0.0016      9.9648      21.1561     8.4245      
11.354      0.0014      9.1158      22.0294     8.0353      
9.597       0.0012      8.1527      22.9737     7.3319      
8.117       0.0010      7.2551      23.8733     6.4078      
7.886       0.0010      7.0954      24.0111     6.2168      
