------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  7.768       m                  fsamp  =  50000     Hz 
        Uinf  =  22.8252     m/s                Tsamp  =  180       s 
        Utau  =  0.7347      m/s                 fcut  =  25000     Hz 
          nu  =  1.5636e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.2753      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
24664.853   1.9064      31.0018     0.0079      0.0157      
20597.326   1.5920      30.9711     0.0149      0.0232      
17200.476   1.3295      30.9139     0.0242      0.0403      
14363.738   1.1102      30.8553     0.1064      0.1816      
11994.636   0.9271      30.3963     0.6066      0.8191      
10016.202   0.7742      29.5378     1.4813      1.6477      
8363.967    0.6465      28.5619     2.4554      2.2788      
6984.176    0.5398      27.7150     3.3196      2.7156      
5831.860    0.4508      26.9206     4.1163      3.0531      
4869.615    0.3764      26.2826     4.7582      3.2851      
4065.911    0.3143      25.6568     5.3993      3.6141      
3394.811    0.2624      25.0472     6.0043      3.8268      
2834.371    0.2191      24.6461     6.4484      4.0715      
2366.265    0.1829      24.1219     6.9541      4.3097      
1975.361    0.1527      23.6334     7.4345      4.4875      
1648.927    0.1275      23.1933     7.8851      4.8305      
1376.296    0.1064      22.8101     8.2753      5.0762      
1148.633    0.0888      22.3252     8.7234      5.2779      
958.515     0.0741      21.9214     9.1798      5.5264      
799.738     0.0618      21.4470     9.6442      5.8208      
667.135     0.0516      20.9993     10.1047     5.9586      
556.334     0.0430      20.5224     10.5684     6.2302      
463.906     0.0359      20.0956     11.0183     6.2367      
386.703     0.0299      19.6055     11.5303     6.3653      
322.234     0.0249      19.1219     11.9798     6.5167      
268.384     0.0207      18.6795     12.4400     6.4898      
223.369     0.0173      18.1706     12.9628     6.6650      
185.777     0.0144      17.6854     13.4489     6.5665      
154.436     0.0119      17.2197     13.8965     6.4938      
128.169     0.0099      16.7624     14.3270     6.4636      
106.319     0.0082      16.3184     14.7962     6.5202      
88.040      0.0068      15.8964     15.2171     6.5196      
72.862      0.0056      15.4317     15.6825     6.4562      
60.034      0.0046      14.9658     16.1619     6.5684      
49.415      0.0038      14.4635     16.6560     6.7391      
40.534      0.0031      13.9163     17.0894     6.9837      
33.109      0.0026      13.3483     17.6699     7.3379      
27.518      0.0021      12.7254     18.3080     7.6629      
23.054      0.0018      12.0815     18.9480     8.0058      
19.483      0.0015      11.4566     19.5877     8.1508      
16.381      0.0013      10.6972     20.3694     8.2423      
13.797      0.0011      9.9237      21.1429     8.1515      
11.588      0.0009      9.0771      21.9873     7.8299      
9.709       0.0008      8.1896      22.8802     7.2231      
9.145       0.0007      7.9163      23.1712     6.9587      
