------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  -0.100      m                  fsamp  =  50000     Hz 
        Uinf  =  22.3944     m/s                Tsamp  =  180       s 
        Utau  =  1.0437      m/s                 fcut  =  25000     Hz 
          nu  =  1.5380e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.1529      m                  wireD  =  2.540     micm 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
23793.059   2.2927      21.4123     0.0110      0.0080      
20101.402   1.9369      21.4289     -0.0078     0.0093      
16983.534   1.6365      21.4363     -0.0132     0.0107      
14350.214   1.3828      21.4454     -0.0208     0.0175      
12126.181   1.1685      21.4271     0.0158      0.0592      
10247.845   0.9875      21.1823     0.2567      0.3222      
8661.461    0.8346      20.5927     0.8591      0.8780      
7321.557    0.7055      19.7880     1.6607      1.4729      
6189.996    0.5965      18.9987     2.4525      1.9570      
5234.269    0.5044      18.1634     3.1984      2.2937      
4427.029    0.4266      17.5401     3.8778      2.6428      
3745.337    0.3609      16.8975     4.5278      2.9737      
3169.512    0.3054      16.3427     5.0993      3.2070      
2683.268    0.2586      15.7955     5.6360      3.4675      
2272.556    0.2190      15.3165     6.1211      3.6661      
1925.636    0.1856      14.8582     6.5891      3.9408      
1632.668    0.1573      14.4949     6.9661      4.1079      
1385.304    0.1335      14.0227     7.4487      4.3272      
1176.284    0.1133      13.6293     7.8290      4.4921      
999.770     0.0963      13.2207     8.2468      4.6577      
850.741     0.0820      12.8339     8.6303      4.7853      
724.921     0.0699      12.3963     9.0728      4.8847      
618.511     0.0596      12.0171     9.4551      4.9966      
528.727     0.0509      11.6532     9.8211      5.1030      
452.855     0.0436      11.2805     10.1861     5.1350      
388.792     0.0375      10.8573     10.6022     5.1405      
334.704     0.0323      10.4863     10.9741     5.1759      
289.032     0.0279      10.1738     11.2860     5.0952      
250.418     0.0241      9.8372      11.6231     5.0985      
217.843     0.0210      9.5444      11.9227     5.0092      
190.290     0.0183      9.2160      12.2519     4.9348      
167.081     0.0161      8.9323      12.5450     4.8517      
147.400     0.0142      8.7133      12.7632     4.7422      
130.841     0.0126      8.4848      12.9927     4.6520      
116.794     0.0113      8.2761      13.1988     4.5400      
104.985     0.0101      8.0721      13.4083     4.4374      
95.009      0.0092      7.9473      13.5409     4.4129      
80.351      0.0077      7.6810      13.8080     4.2789      
63.860      0.0062      7.3503      14.1427     4.1457      
48.523      0.0047      6.9795      14.5116     4.0296      
41.125      0.0040      6.7805      14.7072     3.9534      
