------------------------------------------------------------------------------- 
------------------------------------------------------------------------------- 

  ---------------------------------        ----------------------------------  
      Boundary layer parameters                    Sampling parameters         
  ---------------------------------        ----------------------------------  
     \hat{x}  =  4.268       m                  fsamp  =  50000     Hz 
        Uinf  =  22.8201     m/s                Tsamp  =  180       s 
        Utau  =  0.7423      m/s                 fcut  =  25000     Hz 
          nu  =  1.5768e-05  m2/s               wireL  =  0.508     mm 
       del99  =  0.2232      m                  wireD  =  2.540     micm 
Utau is the friction velocity measured by OFI. 
------------------------------------------------------------------------------- 


-------------------------------------------------------- 
z+          z/del99     U+          (Uinf-U)+   uvar+       
-------------------------------------------------------- 
24714.385   2.3516      30.6876     -0.0007     0.0056      
20639.347   1.9639      30.6462     0.0313      0.0064      
17236.224   1.6401      30.6833     0.0284      0.0100      
14394.246   1.3696      30.7060     0.0199      0.0263      
12020.769   1.1438      30.6461     0.0783      0.1438      
10038.682   0.9552      30.2234     0.5253      0.7795      
8383.396    0.7977      29.2581     1.4701      1.7907      
7001.057    0.6662      28.2072     2.5513      2.6137      
5846.613    0.5563      27.2805     3.4880      3.0841      
4882.591    0.4646      26.3956     4.3709      3.4523      
4077.403    0.3880      25.7033     5.0701      3.6626      
3405.064    0.3240      25.0504     5.7018      3.8269      
2843.636    0.2706      24.5129     6.2358      4.0111      
2374.617    0.2260      24.0337     6.7227      4.1985      
1982.992    0.1887      23.4504     7.3057      4.3240      
1655.955    0.1576      23.0608     7.7007      4.5416      
1382.868    0.1316      22.5650     8.1866      4.7725      
1154.737    0.1099      22.2126     8.5299      5.0744      
964.268     0.0918      21.7985     8.9330      5.4332      
805.198     0.0766      21.3485     9.4048      5.6195      
672.350     0.0640      20.9473     9.7925      5.7492      
561.345     0.0534      20.5145     10.2134     5.9881      
468.699     0.0446      20.0556     10.6708     6.0980      
391.400     0.0372      19.5890     11.1374     6.2089      
326.812     0.0311      19.1203     11.6072     6.3373      
272.863     0.0260      18.6477     12.0729     6.3805      
227.764     0.0217      18.1715     12.5296     6.4021      
190.103     0.0181      17.7420     12.9896     6.4862      
158.704     0.0151      17.2685     13.4531     6.5014      
132.388     0.0126      16.8228     13.8933     6.4238      
110.498     0.0105      16.4115     14.3561     6.4674      
92.138      0.0088      15.9971     14.7725     6.4336      
76.933      0.0073      15.5641     15.2101     6.4023      
64.222      0.0061      15.0673     15.6909     6.4473      
53.489      0.0051      14.6744     16.0760     6.6191      
44.639      0.0042      14.2170     16.5457     6.8299      
37.201      0.0035      13.6941     17.0652     7.0591      
31.269      0.0030      13.2499     17.5066     7.3917      
25.997      0.0025      12.6519     18.1052     7.7344      
21.289      0.0020      11.8539     18.8930     8.0404      
17.805      0.0017      11.1597     19.5822     8.1847      
14.887      0.0014      10.3671     20.3880     8.1563      
12.439      0.0012      9.4707      21.2828     7.9292      
10.414      0.0010      8.5397      22.2107     7.4418      
8.767       0.0008      7.6478      23.0904     6.6314      
7.260       0.0007      6.7284      23.9885     5.6363      
